"","node1","node2","org","pathway"
"249","ec:3.1.1.102","ec:3.1.1.102","ec","01120"
"250","ec:3.1.1.101","ec:3.1.1.101","ec","01120"
"251","ec:3.5.2.15","ec:3.5.2.15","ec","01120"
"252","ec:3.5.1.84","ec:3.5.1.84","ec","01120"
"253","ec:3.5.1.131","ec:3.5.1.131","ec","01120"
"254","ec:4.1.1.18","ec:4.1.1.18","ec","01120"
"255","ec:2.6.1.82","ec:2.6.1.82","ec","01120"
"256","ec:1.2.1.19","ec:1.2.1.19","ec","01120"
"257","ec:2.6.1.48","ec:2.6.1.48","ec","01120"
"258","ec:1.2.1.20","ec:1.2.1.20","ec","01120"
"259","ec:1.13.12.2","ec:1.13.12.2","ec","01120"
"260","ec:3.5.1.30","ec:3.5.1.30","ec","01120"
"261","ec:1.4.1.2","ec:1.4.1.2","ec","01120"
"262","ec:1.4.1.3","ec:1.4.1.3","ec","01120"
"263","ec:1.4.1.4","ec:1.4.1.4","ec","01120"
"264","ec:4.3.1.2","ec:4.3.1.2","ec","01120"
"265","ec:5.4.99.1","ec:5.4.99.1","ec","01120"
"266","ec:4.5.1.1","ec:4.5.1.1","ec","01120"
"267","ec:1.14.12.9","ec:1.14.12.9","ec","01120"
"268","ec:3.5.1.126","ec:3.5.1.126","ec","01120"
"269","ec:1.8.5.8","ec:1.8.5.8","ec","01120"
"270","ec:1.13.11.18","ec:1.13.11.18","ec","01120"
"271","ec:1.14.13.69","ec:1.14.13.69","ec","01120"
"272","ec:4.4.1.23","ec:4.4.1.23","ec","01120"
"273","ec:4.1.1.101","ec:4.1.1.101","ec","01120"
"274","ec:1.1.1.401","ec:1.1.1.401","ec","01120"
"275","ec:1.14.13.50","ec:1.14.13.50","ec","01120"
"276","ec:6.1.1.17","ec:6.1.1.17","ec","01120"
"277","ec:1.2.1.70","ec:1.2.1.70","ec","01120"
"278","ec:5.4.3.8","ec:5.4.3.8","ec","01120"
"279","ec:4.2.1.24","ec:4.2.1.24","ec","01120"
"280","ec:2.5.1.61","ec:2.5.1.61","ec","01120"
"281","ec:4.2.1.75","ec:4.2.1.75","ec","01120"
"282","ec:2.1.1.107","ec:2.1.1.107","ec","01120"
"283","ec:1.3.1.76","ec:1.3.1.76","ec","01120"
"284","ec:4.99.1.11","ec:4.99.1.11","ec","01120"
"285","ec:6.3.5.12","ec:6.3.5.12","ec","01120"
"286","ec:6.3.3.7","ec:6.3.3.7","ec","01120"
"287","ec:6.4.1.9","ec:6.4.1.9","ec","01120"
"288","ec:1.3.1.44","ec:1.3.1.44","ec","01120"
"289","ec:1.3.1.86","ec:1.3.1.86","ec","01120"
"290","ec:1.3.8.1","ec:1.3.8.1","ec","01120"
"291","ec:1.2.1.10","ec:1.2.1.10","ec","01120"
"292","ec:1.14.13.230","ec:1.14.13.230","ec","01120"
"293","ec:1.14.13.219","ec:1.14.13.219","ec","01120"
"294","ec:1.14.13.220","ec:1.14.13.220","ec","01120"
"295","ec:1.14.14.27","ec:1.14.14.27","ec","01120"
"296","ec:4.1.1.103","ec:4.1.1.103","ec","01120"
"297","ec:1.1.1.51","ec:1.1.1.51","ec","01120"
"298","ec:1.1.1.145","ec:1.1.1.145","ec","01120"
"299","ec:1.1.3.6","ec:1.1.3.6","ec","01120"
"300","ec:5.3.3.1","ec:5.3.3.1","ec","01120"
"301","ec:1.14.15.29","ec:1.14.15.29","ec","01120"
"302","ec:1.14.15.28","ec:1.14.15.28","ec","01120"
"303","ec:1.3.7.1","ec:1.3.7.1","ec","01120"
"304","ec:3.5.2.18","ec:3.5.2.18","ec","01120"
"305","ec:1.1.1.291","ec:1.1.1.291","ec","01120"
"306","ec:5.4.99.4","ec:5.4.99.4","ec","01120"
"307","ec:5.3.3.6","ec:5.3.3.6","ec","01120"
"308","ec:4.2.1.85","ec:4.2.1.85","ec","01120"
"309","ec:4.1.3.32","ec:4.1.3.32","ec","01120"
"311","ec:2.1.1.247","ec:2.1.1.247","ec","01120"
"312","ec:2.1.1.250","ec:2.1.1.250","ec","01120"
"313","ec:1.2.1.96","ec:1.2.1.96","ec","01120"
"314","ec:2.6.1.19","ec:2.6.1.19","ec","01120"
"315","ec:2.6.1.96","ec:2.6.1.96","ec","01120"
"316","ec:1.14.13.163","ec:1.14.13.163","ec","01120"
"317","ec:1.5.3.21","ec:1.5.3.21","ec","01120"
