"","node1","node2","ec1","entryID1","reaction1","x1","y1","ec2","entryID2","reaction2","x2","y2","org","pathway"
"1","3581","3580","ec:2.5.1.26","60","rn:R04311","396","168","ec:1.1.1.101","59","rn:R04360","395","238","ec","00565"
"2","3579","3580","ec:2.7.1.93","58","rn:R04126","325","238","ec:1.1.1.101","59","rn:R04360","395","238","ec","00565"
"3","3583","3580","ec:2.3.1.105","63","rn:R03455","180","313","ec:1.1.1.101","59","rn:R04360","395","238","ec","00565"
"4","3579","3583","ec:2.7.1.93","58","rn:R04126","325","238","ec:2.3.1.105","63","rn:R03455","180","313","ec","00565"
"5","3583","3584","ec:2.3.1.105","63","rn:R03455","180","313","ec:3.1.3.59","64","rn:R03454","180","383","ec","00565"
"6","3588","3584","ec:2.3.1.125","68","rn:R04363","131","421","ec:3.1.3.59","64","rn:R03454","180","383","ec","00565"
"7","3585","3584","ec:2.7.8.2","65","rn:R04321","180","453","ec:3.1.3.59","64","rn:R03454","180","383","ec","00565"
"8","3588","3585","ec:2.3.1.125","68","rn:R04363","131","421","ec:2.7.8.2","65","rn:R04321","180","453","ec","00565"
"9","3589","3585","ec:3.1.1.47","69","rn:R04452","159","521","ec:2.7.8.2","65","rn:R04321","180","453","ec","00565"
"10","3585","3592","ec:2.7.8.2","65","rn:R04321","180","453","ec:2.3.1.67","72","rn:R03437","203","541","ec","00565"
"11","3589","3590","ec:3.1.1.47","69","rn:R04452","159","521","ec:3.1.1.4","70","rn:R07387","271","558","ec","00565"
"12","3589","3591","ec:3.1.1.47","69","rn:R04452","159","521","ec:2.3.1.63","71","rn:R03438","223","576","ec","00565"
"13","3590","3592","ec:3.1.1.4","70","rn:R07387","271","558","ec:2.3.1.67","72","rn:R03437","203","541","ec","00565"
"14","3591","3592","ec:2.3.1.63","71","rn:R03438","223","576","ec:2.3.1.67","72","rn:R03437","203","541","ec","00565"
"15","3590","3587","ec:3.1.1.4","70","rn:R07387","271","558","ec:2.7.8.2","67","rn:R07389","314","453","ec","00565"
"16","3591","3587","ec:2.3.1.63","71","rn:R03438","223","576","ec:2.7.8.2","67","rn:R07389","314","453","ec","00565"
"17","3582","3587","ec:3.1.3.4","62","rn:R04162","613","383","ec:2.7.8.2","67","rn:R07389","314","453","ec","00565"
"18","3586","3582","ec:2.7.8.1","66","rn:R06364","613","453","ec:3.1.3.4","62","rn:R04162","613","383","ec","00565"
"19","3586","3587","ec:2.7.8.1","66","rn:R06364","613","453","ec:2.7.8.2","67","rn:R07389","314","453","ec","00565"
"20","3595","3586","ec:1.14.99.19","75","rn:R04571","612","516","ec:2.7.8.1","66","rn:R06364","613","453","ec","00565"
"21","3595","3594","ec:1.14.99.19","75","rn:R04571","612","516","ec:2.3.1.121","74","rn:R04413","541","556","ec","00565"
"22","3595","3593","ec:1.14.99.19","75","rn:R04571","612","516","ec:3.1.1.4","73","rn:R07379","541","575","ec","00565"
"23","3595","3598","ec:1.14.99.19","75","rn:R04571","612","516","ec:3.1.4.4","78","rn:R07385","541","656","ec","00565"
"24","3595","3597","ec:1.14.99.19","75","rn:R04571","612","516","ec:2.7.8.1","77","rn:R07384","593","656","ec","00565"
"25","3595","3599","ec:1.14.99.19","75","rn:R04571","612","516","ec:3.1.4.3","79","rn:R07381","638","678","ec","00565"
"26","3598","3594","ec:3.1.4.4","78","rn:R07385","541","656","ec:2.3.1.121","74","rn:R04413","541","556","ec","00565"
"27","3597","3594","ec:2.7.8.1","77","rn:R07384","593","656","ec:2.3.1.121","74","rn:R04413","541","556","ec","00565"
"28","3599","3594","ec:3.1.4.3","79","rn:R07381","638","678","ec:2.3.1.121","74","rn:R04413","541","556","ec","00565"
"29","3598","3593","ec:3.1.4.4","78","rn:R07385","541","656","ec:3.1.1.4","73","rn:R07379","541","575","ec","00565"
"30","3597","3593","ec:2.7.8.1","77","rn:R07384","593","656","ec:3.1.1.4","73","rn:R07379","541","575","ec","00565"
"31","3599","3593","ec:3.1.4.3","79","rn:R07381","638","678","ec:3.1.1.4","73","rn:R07379","541","575","ec","00565"
"32","3597","3598","ec:2.7.8.1","77","rn:R07384","593","656","ec:3.1.4.4","78","rn:R07385","541","656","ec","00565"
"33","3599","3598","ec:3.1.4.3","79","rn:R07381","638","678","ec:3.1.4.4","78","rn:R07385","541","656","ec","00565"
"34","3599","3600","ec:3.1.4.3","79","rn:R07381","638","678","ec:2.7.8.22","81","rn:R03110","612","780","ec","00565"
"35","3597","3600","ec:2.7.8.1","77","rn:R07384","593","656","ec:2.7.8.22","81","rn:R03110","612","780","ec","00565"
"36","3600","3578","ec:2.7.8.22","81","rn:R03110","612","780","ec:2.3.1.25","31","rn:R03109","556","818","ec","00565"
"37","3601","3578","ec:3.3.2.2","82","rn:R02745","505","854","ec:2.3.1.25","31","rn:R03109","556","818","ec","00565"
"38","3602","3596","ec:3.1.4.39","83","rn:R07388","469","595","ec:3.3.2.2","76","rn:R03415","485","525","ec","00565"
"39","3596","3593","ec:3.3.2.2","76","rn:R03415","485","525","ec:3.1.1.4","73","rn:R07379","541","575","ec","00565"
"40","3596","3594","ec:3.3.2.2","76","rn:R03415","485","525","ec:2.3.1.121","74","rn:R04413","541","556","ec","00565"
"41","3602","3593","ec:3.1.4.39","83","rn:R07388","469","595","ec:3.1.1.4","73","rn:R07379","541","575","ec","00565"
"42","3602","3594","ec:3.1.4.39","83","rn:R07388","469","595","ec:2.3.1.121","74","rn:R04413","541","556","ec","00565"
"43","3603","3582","ec:2.4.1.47","92","rn:R10804","794","453","ec:3.1.3.4","62","rn:R04162","613","383","ec","00565"
"44","3603","3586","ec:2.4.1.47","92","rn:R10804","794","453","ec:2.7.8.1","66","rn:R06364","613","453","ec","00565"
"45","3603","3587","ec:2.4.1.47","92","rn:R10804","794","453","ec:2.7.8.2","67","rn:R07389","314","453","ec","00565"
"46","3603","3604","ec:2.4.1.47","92","rn:R10804","794","453","ec:2.8.2.11","93","rn:R10805","794","516","ec","00565"
