"","node1","node2","ec1","entryID1","reaction1","x1","y1","ec2","entryID2","reaction2","x2","y2","org","pathway"
"1","3799","3805","ec:2.4.1.228","37","rn:R05960","162","250","ec:2.4.1.79","45","rn:R05962","274","237","ec","00603"
"2","3799","3800","ec:2.4.1.228","37","rn:R05960","162","250","ec:3.2.1.52","39","rn:R05963","274","265","ec","00603"
"3","3804","3805","ec:3.2.1.22","44","rn:R05961","162","218","ec:2.4.1.79","45","rn:R05962","274","237","ec","00603"
"4","3800","3804","ec:3.2.1.52","39","rn:R05963","274","265","ec:3.2.1.22","44","rn:R05961","162","218","ec","00603"
"5","3805","3806","ec:2.4.1.79","45","rn:R05962","274","237","ec:2.4.1.88","46","rn:R05965","386","237","ec","00603"
"6","3798","3805","ec:3.2.1.49","36","rn:R05966","387","264","ec:2.4.1.79","45","rn:R05962","274","237","ec","00603"
"7","3800","3806","ec:3.2.1.52","39","rn:R05963","274","265","ec:2.4.1.88","46","rn:R05965","386","237","ec","00603"
"8","3798","3800","ec:3.2.1.49","36","rn:R05966","387","264","ec:3.2.1.52","39","rn:R05963","274","265","ec","00603"
"9","3797","3803","ec:2.4.99.4","4","rn:R05967","333","479","ec:2.4.1.69","43","rn:R05968","274","434","ec","00603"
"10","3807","3800","ec:3.2.1.47","67","rn:R05961","162","197","ec:3.2.1.52","39","rn:R05963","274","265","ec","00603"
"11","3807","3805","ec:3.2.1.47","67","rn:R05961","162","197","ec:2.4.1.79","45","rn:R05962","274","237","ec","00603"
"12","3808","3809","ec:2.4.1.87","70","rn:R11320","162","163","ec:2.4.1.79","75","rn:R11321","274","163","ec","00603"
"13","3809","3810","ec:2.4.1.79","75","rn:R11321","274","163","ec:2.4.1.88","76","rn:R11322","386","162","ec","00603"
"14","3805","3811","ec:2.4.1.79","45","rn:R05962","274","237","ec:2.4.1.228","85","rn:R11376","388","292","ec","00603"
"15","3811","3812","ec:2.4.1.228","85","rn:R11376","388","292","ec:2.4.1.79","89","rn:R11379","497","292","ec","00603"
"16","3812","3813","ec:2.4.1.79","89","rn:R11379","497","292","ec:2.4.1.228","92","rn:R11377","610","291","ec","00603"
