"ap_dict_id","pathway","ap_group","pathway_nodes","pathway_edges","betweenness","degree","noSubgraphs","impact_score"
4028,"00625","≥80%",27,26,0.00153846153846154,2,7,23.2857142857143
4040,"00625","<30%",27,26,0.0138461538461538,5,7,23.2857142857143
4054,"00626","<30%",13,11,0,2,4,10
4056,"00626","<30%",13,11,0.0454545454545455,2,4,10
4057,"00626","<30%",13,11,0.0757575757575758,2,4,10
4058,"00626","<30%",13,11,0.0909090909090909,2,4,10
4059,"00626","<30%",13,11,0.0909090909090909,2,4,10
4060,"00626","<30%",13,11,0.0757575757575758,3,4,10
4069,"00627","<30%",55,102,0,5,4,41.5
4074,"00627","<30%",55,102,0.00419287211740042,3,4,41.5
4078,"00627","<30%",55,102,0.000349406009783368,3,4,41.5
4081,"00627","<30%",55,102,0.00419287211740042,4,4,41.5
4082,"00627","<30%",55,102,0.000698812019566737,2,4,41.5
4084,"00627","<30%",55,102,0,2,4,41.5
4085,"00627","<30%",55,102,0.000698812019566737,2,4,41.5
4087,"00627","<30%",55,102,0.0157232704402516,4,4,41.5
4103,"00627","<30%",55,102,0,3,4,41.5
4113,"00627","<30%",55,102,0.00419287211740042,2,4,41.5
4114,"00627","<30%",55,102,0.00908455625436757,4,4,41.5
4116,"00627","<30%",55,102,0.00681341719077568,5,4,41.5
4117,"00627","<30%",55,102,0.0125786163522013,3,4,41.5
4118,"00627","<30%",55,102,0.0139762403913347,3,4,41.5
4156,"00630","≥80%",81,360,0.0153460727036676,6,3,54.3333333333333
4189,"00630","<30%",81,360,0.108069620253165,21,3,54.3333333333333
4197,"00630","<30%",81,360,0.0597626582278481,24,3,54.3333333333333
4220,"00640","<30%",61,225,0.0019774011299435,6,2,31
4222,"00640","<30%",61,225,0,2,2,31
4238,"00640","<30%",61,225,0.0158795582948125,6,2,31
4254,"00640","<30%",61,225,0.00225988700564972,3,2,31
4255,"00640","<30%",61,225,0.00338983050847458,3,2,31
4256,"00640","<30%",61,225,0.00423728813559322,2,2,31
