"dictID","org","pathway","name","entrez","is_bottleneck","reaction_type","betweenness","degree","community","eccentricity","radius","diameter"
1,"dre",10,"ec:4.1.2.13","dre:321664 / dre:336425 / dre:369193 / dre:406496 / dre:792692",0,"reversible",0.00175438596491228,15,1,9,7,6
2,"dre",10,"ec:1.2.1.3","dre:100000026 / dre:100005587 / dre:100536795 / dre:323653 / dre:334197 / dre:368239 / dre:393462 / dre:399481 / dre:447920 / dre:492710",0,"reversible",0.000121457489878543,6,2,12,7,6
4,"dre",10,"ec:1.2.1.5","dre:282559 / dre:557008 / dre:751785",0,"reversible",0.000121457489878543,6,2,12,7,6
6,"dre",10,"ec:1.1.1.2","dre:445326 / dre:799805",0,"reversible",0,13,2,13,7,6
7,"dre",10,"ec:1.1.1.1","dre:116517",0,"reversible",0,13,2,13,7,6
9,"dre",10,"ec:1.2.4.1","dre:406428 / dre:406702 / dre:436672",0,"irreversible",0,8,2,9,7,6
10,"dre",10,"ec:1.2.4.1","dre:406428 / dre:406702 / dre:436672",0,"irreversible",0,8,2,9,7,6
11,"dre",10,"ec:2.3.1.12","dre:324201",1,"reversible",0.000526315789473684,7,2,10,7,6
12,"dre",10,"ec:1.1.1.27","dre:30496 / dre:30497 / dre:436747",0,"reversible",0,6,2,9,7,6
13,"dre",10,"ec:2.7.1.40","dre:114551 / dre:335817 / dre:445094",0,"irreversible",0.00421052631578947,13,2,8,7,6
14,"dre",10,"ec:4.2.1.11","dre:334116 / dre:378963 / dre:393668 / dre:402874 / dre:558487",0,"reversible",0.00331419457735247,11,3,7,7,6
15,"dre",10,"ec:5.4.2.11","dre:323107 / dre:327165 / dre:436903 / dre:572733",0,"reversible",0.00315789473684211,9,3,7,7,6
16,"dre",10,"ec:1.2.1.12","dre:317743 / dre:406367",0,"reversible",0.00736842105263158,9,1,8,7,6
17,"dre",10,"ec:5.3.1.1","dre:192309 / dre:560753",0,"reversible",0.00175438596491228,12,1,9,7,6
18,"dre",10,"ec:2.7.1.11","dre:447836 / dre:550259 / dre:560944 / dre:561416 / dre:568001 / dre:570106",0,"irreversible",0.00204678362573099,7,1,10,7,6
19,"dre",10,"ec:3.1.3.11","dre:282672 / dre:335231 / dre:445505",0,"irreversible",0.00204678362573099,7,1,10,7,6
21,"dre",10,"ec:5.3.1.9","dre:246094 / dre:246095",0,"reversible",0.0216374269005848,27,4,11,7,6
22,"dre",10,"ec:5.4.2.2","dre:394000 / dre:405822",0,"reversible",0.000935672514619883,14,4,12,7,6
23,"dre",10,"ec:5.3.1.9","dre:246094 / dre:246095",0,"reversible",0.0216374269005848,27,4,11,7,6
24,"dre",10,"ec:2.7.1.1","dre:321224 / dre:406339 / dre:406791",0,"irreversible",0.00292397660818713,8,4,12,7,6
25,"dre",10,"ec:2.7.1.2","dre:751668",0,"irreversible",0.00292397660818713,8,4,12,7,6
26,"dre",10,"ec:5.3.1.9","dre:246094 / dre:246095",0,"reversible",0.0216374269005848,27,4,11,7,6
28,"dre",10,"ec:5.1.3.3","dre:436646",0,"reversible",0.0104093567251462,14,4,13,7,6
29,"dre",10,"ec:2.7.1.2","dre:751668",0,"irreversible",0.00292397660818713,8,4,12,7,6
30,"dre",10,"ec:2.7.1.1","dre:321224 / dre:406339 / dre:406791",0,"irreversible",0.00292397660818713,8,4,12,7,6
31,"dre",10,"ec:3.1.3.9","dre:100000750 / dre:445118 / dre:563180 / dre:790919",0,"irreversible",0,5,4,12,7,6
33,"dre",10,"ec:1.8.1.4","dre:399479",0,"reversible",0,4,2,10,7,6
34,"dre",10,"ec:2.7.2.3","dre:406696",0,"reversible",0.00062200956937799,7,5,8,7,6
39,"dre",10,"ec:4.1.1.32","dre:378727 / dre:406473",0,"irreversible",0,8,2,8,7,6
46,"dre",10,"ec:5.4.2.11","dre:436903",0,"reversible",0.0207974481658692,16,3,7,7,6
47,"dre",10,"ec:5.4.2.4","dre:436903",0,"reversible",0.0207974481658692,16,3,7,7,6
48,"dre",10,"ec:6.2.1.1","dre:436914 / dre:541435 / dre:560020",0,"irreversible",0,14,2,11,7,6
50,"dre",10,"ec:2.7.1.147","dre:557919 / dre:566398",0,"irreversible",0.000233918128654971,5,4,12,7,6
51,"dre",10,"ec:2.7.1.147","dre:557919 / dre:566398",0,"reversible",0.000233918128654971,5,4,12,7,6
54,"dre",10,"ec:3.1.3.80","dre:394075 / dre:561891",0,"irreversible",0.00837320574162679,9,6,7,7,6
59,"dre",20,"ec:1.8.1.4","dre:399479",0,"reversible",0.125,8,1,4,4,7
60,"dre",20,"ec:1.2.4.2","dre:559207 / dre:564552 / dre:797715",0,"irreversible",0.0173611111111111,7,2,4,4,7
61,"dre",20,"ec:1.2.4.2","dre:559207 / dre:564552 / dre:797715",0,"irreversible",0.0173611111111111,7,2,4,4,7
62,"dre",20,"ec:2.3.1.61","dre:368262",0,"reversible",0.201704545454545,7,2,4,4,7
63,"dre",20,"ec:6.2.1.5","dre:317746 / dre:406299 / dre:436850",0,"reversible",0.0501893939393939,6,3,4,4,7
64,"dre",20,"ec:6.2.1.4","dre:317746 / dre:406299 / dre:436850",0,"reversible",0.0501893939393939,6,3,4,4,7
65,"dre",20,"ec:1.1.1.42","dre:100006589 / dre:386951",0,"reversible",0.00284090909090909,11,2,4,4,7
66,"dre",20,"ec:1.1.1.41","dre:393926 / dre:415247 / dre:550579",0,"reversible",0.000631313131313131,9,2,4,4,7
67,"dre",20,"ec:1.1.1.42","dre:100006589 / dre:386951",0,"reversible",0.00284090909090909,11,2,4,4,7
68,"dre",20,"ec:2.3.3.8","dre:436922",0,"reversible",0.0276041666666667,10,1,4,4,7
69,"dre",20,"ec:4.2.1.2","dre:393938",0,"reversible",0.0482954545454545,8,3,4,4,7
70,"dre",20,"ec:4.2.1.3","dre:322670 / dre:568448",0,"reversible",0.0142045454545455,7,2,4,4,7
71,"dre",20,"ec:4.2.1.3","dre:322670 / dre:568448",0,"reversible",0.0142045454545455,7,2,4,4,7
72,"dre",20,"ec:2.3.3.1","dre:322339",0,"reversible",0.0276041666666667,10,1,4,4,7
73,"dre",20,"ec:1.1.1.37","dre:335715 / dre:399662 / dre:406405",0,"reversible",0,7,1,4,4,7
74,"dre",20,"ec:6.4.1.1","dre:553283 / dre:58068",0,"irreversible",0.0106534090909091,10,1,4,4,7
75,"dre",20,"ec:1.2.4.1","dre:406428 / dre:406702 / dre:436672",0,"irreversible",0.0125315656565657,10,1,4,4,7
76,"dre",20,"ec:1.2.4.1","dre:406428 / dre:406702 / dre:436672",0,"irreversible",0.0125315656565657,10,1,4,4,7
77,"dre",20,"ec:1.8.1.4","dre:399479",0,"reversible",0.125,8,1,4,4,7
78,"dre",20,"ec:2.3.1.12","dre:324201",0,"reversible",0.046875,6,1,4,4,7
80,"dre",20,"ec:4.1.1.32","dre:378727 / dre:406473",0,"irreversible",0,7,1,4,4,7
83,"dre",20,"ec:1.3.5.1","dre:393884 / dre:436762 / dre:445129 / dre:445500 / dre:562149",0,"reversible",0.0115530303030303,4,3,4,4,7
92,"dre",30,"ec:5.3.1.9","dre:246094 / dre:246095",0,"reversible",0.0392130857648099,14,1,2,2,4
94,"dre",30,"ec:2.7.1.15","dre:415207",0,"reversible",0.0014367816091954,9,2,3,2,4
95,"dre",30,"ec:5.4.2.7","dre:405822",0,"reversible",0.0624712643678161,11,3,3,2,4
96,"dre",30,"ec:4.1.2.4","dre:450077",0,"reversible",0.00597701149425287,10,4,4,2,4
97,"dre",30,"ec:2.7.6.1","dre:140620 / dre:560827",0,"reversible",0,6,5,3,2,4
98,"dre",30,"ec:5.4.2.7","dre:405822",0,"reversible",0.0624712643678161,11,3,3,2,4
99,"dre",30,"ec:2.7.1.15","dre:415207",0,"reversible",0.0014367816091954,9,2,3,2,4
100,"dre",30,"ec:2.2.1.1","dre:378713 / dre:557518",0,"reversible",0.24466259793846,33,7,3,2,4
101,"dre",30,"ec:5.3.1.6","dre:407673",0,"reversible",0.0186987916298261,10,8,3,2,4
102,"dre",30,"ec:5.1.3.1","dre:334897",0,"reversible",0.0172811671087533,6,1,3,2,4
103,"dre",30,"ec:2.2.1.1","dre:378713 / dre:557518",0,"reversible",0.24466259793846,33,7,3,2,4
