dictID,org,pathway,name,entrez,is_bottleneck,reaction,reaction_type,betweenness,degree,community,eccentricity,radius,diameter
31,mmu,10,ec:3.1.3.9,mmu:14377 / mmu:14378 / mmu:68401,0,rn:R01788,irreversible,0,4,5,12,7,6
33,mmu,10,ec:1.8.1.4,mmu:13382,0,rn:R07618,reversible,0,4,3,10,7,6
34,mmu,10,ec:2.7.2.3,mmu:18655 / mmu:18663,0,rn:R01512,reversible,0.000309065934065934,6,4,8,7,6
39,mmu,10,ec:4.1.1.32,mmu:18534 / mmu:74551,0,rn:R00431 rn:R00726,irreversible,0,7,3,8,7,6
46,mmu,10,ec:5.4.2.11,mmu:12183,0,rn:R01516,reversible,0.0235347985347985,16,4,7,7,6
47,mmu,10,ec:5.4.2.4,mmu:12183,0,rn:R01662,reversible,0.0235347985347985,16,4,7,7,6
48,mmu,10,ec:6.2.1.1,mmu:60525 / mmu:68738,0,rn:R00235,irreversible,0,11,3,11,7,6
50,mmu,10,ec:2.7.1.147,mmu:72141,0,rn:R09085,irreversible,0.000520833333333333,4,6,12,7,6
51,mmu,10,ec:2.7.1.147,mmu:72141,0,rn:R09086,reversible,0.000520833333333333,4,6,12,7,6
54,mmu,10,ec:3.1.3.80,mmu:17330,0,rn:R09532,irreversible,0.0195741758241758,8,7,7,7,6
59,mmu,20,ec:1.8.1.4,mmu:13382,0,rn:R07618,reversible,0.124731182795699,7,1,4,4,7
60,mmu,20,ec:1.2.4.2,mmu:18293 / mmu:239017,0,rn:R00621,irreversible,0.032258064516129,8,2,4,4,7
61,mmu,20,ec:1.2.4.2,mmu:18293 / mmu:239017,0,rn:R03316,irreversible,0.032258064516129,8,2,4,4,7
62,mmu,20,ec:2.3.1.61,mmu:78920,0,rn:R02570,reversible,0.195698924731183,6,3,4,4,7
63,mmu,20,ec:6.2.1.5,mmu:20916 / mmu:20917 / mmu:56451,0,rn:R00405,reversible,0.0451612903225806,5,3,4,4,7
64,mmu,20,ec:6.2.1.4,mmu:20916 / mmu:20917 / mmu:56451,0,rn:R00432 rn:R00727,reversible,0.0451612903225806,5,3,4,4,7
65,mmu,20,ec:1.1.1.42,mmu:15926 / mmu:269951,0,rn:R00268,reversible,0.00645161290322581,12,2,4,4,7
66,mmu,20,ec:1.1.1.41,mmu:15929 / mmu:170718 / mmu:243996 / mmu:67834,0,rn:R00709,reversible,0.000537634408602151,8,2,4,4,7
67,mmu,20,ec:1.1.1.42,mmu:15926 / mmu:269951,0,rn:R01899,reversible,0.00645161290322581,12,2,4,4,7
68,mmu,20,ec:2.3.3.8,mmu:104112,0,rn:R00352,reversible,0.0202508960573477,8,1,4,4,7
69,mmu,20,ec:4.2.1.2,mmu:14194,0,rn:R01082,reversible,0.032258064516129,6,3,4,4,7
70,mmu,20,ec:4.2.1.3,mmu:11428 / mmu:11429,0,rn:R01900,reversible,0.0193548387096774,9,2,4,4,7
71,mmu,20,ec:4.2.1.3,mmu:11428 / mmu:11429,0,rn:R01325,reversible,0.0193548387096774,9,2,4,4,7
72,mmu,20,ec:2.3.3.1,mmu:12974 / mmu:71832,0,rn:R00351,reversible,0.0202508960573477,8,1,4,4,7
73,mmu,20,ec:1.1.1.37,mmu:17448 / mmu:17449,0,rn:R00342,reversible,0,7,1,4,4,7
74,mmu,20,ec:6.4.1.1,mmu:18563,0,rn:R00344,irreversible,0.0172043010752688,10,1,4,4,7
75,mmu,20,ec:1.2.4.1,mmu:18597 / mmu:18598 / mmu:68263,0,rn:R00014,irreversible,0.00734767025089606,9,1,4,4,7
76,mmu,20,ec:1.2.4.1,mmu:18597 / mmu:18598 / mmu:68263,0,rn:R03270,irreversible,0.00734767025089606,9,1,4,4,7
77,mmu,20,ec:1.8.1.4,mmu:13382,0,rn:R07618,reversible,0.124731182795699,7,1,4,4,7
78,mmu,20,ec:2.3.1.12,mmu:235339,0,rn:R02569,reversible,0.0645161290322581,7,1,4,4,7
80,mmu,20,ec:4.1.1.32,mmu:18534 / mmu:74551,0,rn:R00431 rn:R00726,irreversible,0,6,1,4,4,7
83,mmu,20,ec:1.3.5.1,mmu:66052 / mmu:66925 / mmu:66945 / mmu:67680,0,rn:R02164,reversible,0.0126344086021505,4,3,4,4,7
92,mmu,30,ec:5.3.1.9,mmu:14751,0,rn:R02739,reversible,0.107257302084888,12,1,3,3,5
94,mmu,30,ec:2.7.1.15,mmu:71336,0,rn:R02750,reversible,0.00252873563218391,12,1,4,3,5
95,mmu,30,ec:5.4.2.7,mmu:66681,0,rn:R02749,reversible,0.0496715927750411,15,1,4,3,5
96,mmu,30,ec:4.1.2.4,mmu:232449,0,rn:R01066,reversible,0.00369458128078818,10,1,5,3,5
97,mmu,30,ec:2.7.6.1,mmu:110639 / mmu:19139 / mmu:328099 / mmu:75456,0,rn:R01049,reversible,0,7,1,4,3,5
98,mmu,30,ec:5.4.2.7,mmu:66681,0,rn:R01057,reversible,0.0496715927750411,15,1,4,3,5
99,mmu,30,ec:2.7.1.15,mmu:71336,0,rn:R01051,reversible,0.00252873563218391,12,1,4,3,5
100,mmu,30,ec:2.2.1.1,mmu:21881 / mmu:74419 / mmu:83553,0,rn:R01641,reversible,0.110863312932279,28,1,4,3,5
101,mmu,30,ec:5.3.1.6,mmu:19895,0,rn:R01056,reversible,0.0443023834403145,13,1,3,3,5
102,mmu,30,ec:5.1.3.1,mmu:66646,0,rn:R01529,reversible,0.0216587052793949,8,1,3,3,5
103,mmu,30,ec:2.2.1.1,mmu:21881 / mmu:74419 / mmu:83553,0,rn:R01830,reversible,0.110863312932279,28,1,4,3,5
104,mmu,30,ec:4.1.2.13,mmu:11674 / mmu:11676 / mmu:230163 / mmu:353204,0,rn:R01070,reversible,0.00180623973727422,13,1,5,3,5
105,mmu,30,ec:2.7.1.11,mmu:18641 / mmu:18642 / mmu:56421,0,rn:R04779,irreversible,0.00337363785639648,9,1,4,3,5
106,mmu,30,ec:3.1.3.11,mmu:14120 / mmu:14121,0,rn:R04780,irreversible,0.00337363785639648,9,1,4,3,5
107,mmu,30,ec:5.3.1.9,mmu:14751,0,rn:R02740,reversible,0.107257302084888,12,1,3,3,5
110,mmu,30,ec:1.1.1.44,mmu:110208,0,rn:R01528,irreversible,0.0536622381449968,7,2,3,3,5
111,mmu,30,ec:3.1.1.31,mmu:66171,0,rn:R02035,irreversible,0.0132183908045977,8,2,4,3,5
112,mmu,30,ec:1.1.1.49,mmu:14380 / mmu:14381,0,rn:R02736,irreversible,0.00655694879832811,4,2,3,3,5
116,mmu,30,ec:2.7.1.12,mmu:75731,1,rn:R01737,irreversible,0.032183908045977,4,2,4,3,5
118,mmu,30,ec:3.1.1.17,mmu:19733,0,rn:R01519,irreversible,0,1,2,5,3,5
125,mmu,30,ec:2.2.1.2,mmu:21351,0,rn:R01827,reversible,0.119376026272578,17,1,4,3,5
126,mmu,30,ec:5.4.2.2,mmu:66681 / mmu:72157,0,rn:R01057,reversible,0.0496715927750411,15,1,4,3,5
129,mmu,30,ec:2.7.1.165,mmu:235582,0,rn:R08572,irreversible,NA,NA,NA,NA,NA,NA
NA,mmu,30,NA,mmu:100198,0,rn:R02736 rn:R02035,NA,0.033223864258347,7,2,3,3,5
147,mmu,30,ec:1.1.1.343,mmu:110208,0,rn:R10221,irreversible,0.0536622381449968,7,2,3,3,5
148,mmu,30,ec:1.1.1.363,mmu:14380 / mmu:14381,0,rn:R02736 rn:R10907,irreversible,0.00655694879832811,4,2,3,3,5
154,mmu,40,ec:3.2.1.31,mmu:110006 / mmu:16591,0,rn:R01478,irreversible,0,19,1,3,1,3
161,mmu,40,ec:5.1.3.1,mmu:66646,0,rn:R01529,reversible,0,1,2,1,1,3
164,mmu,40,ec:2.7.7.40,mmu:75847,0,rn:R02921,reversible,NA,NA,NA,NA,NA,NA
167,mmu,40,ec:2.7.1.17,mmu:102448,0,rn:R01639,reversible,0,1,2,1,1,3
174,mmu,40,ec:1.1.1.21,mmu:11677 / mmu:11997 / mmu:14187 / mmu:67861,0,rn:R01758 rn:R01759,reversible,0.000756048387096774,3,3,2,1,3
176,mmu,40,ec:1.1.1.10,mmu:67880,0,rn:R01904,reversible,0.0161290322580645,5,3,2,1,3
177,mmu,40,ec:1.1.1.21,mmu:11677 / mmu:11997 / mmu:14187 / mmu:67861,0,rn:R01431,reversible,0.000756048387096774,3,3,2,1,3
180,mmu,40,ec:1.1.1.45,mmu:68631,0,rn:R02640,reversible,0,1,1,5,1,3
181,mmu,40,ec:2.7.7.9,mmu:216558,0,rn:R00289,irreversible,0,1,1,5,1,3
182,mmu,40,ec:2.4.1.17,mmu:100559 / mmu:100727 / mmu:112417 / mmu:22236 / mmu:22238 / mmu:231396 / mmu:243085 / mmu:394430 / mmu:394432 / mmu:394433 / mmu:394434 / mmu:394435 / mmu:394436 / mmu:552899 / mmu:71773 / mmu:72094 / mmu:94215 / mmu:94284,0,rn:R01383,reversible,0.000112007168458781,3,1,3,1,3
