"","X","entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification","lethal_nonlethal","entrezgene_accession"
"18",18,62,"ec:5.3.1.9","gene","rn:R02740",483,265,"rectangle",46,17,"#BFFFBF","sce:YBR196C",21,"reversible","sce",10,1,1,0.0281705948372615,9,23,0.348484848484849,0.000395100750691426,4,0.822961031266446,10,6,6,20,6.90940685337481e-17,3.01427318351059e-16,"HB","nonlethal",""
"19",19,63,"ec:5.4.2.2","gene","rn:R00959",483,178,"rectangle",46,17,"#BFFFBF","sce:YKL127W / sce:YMR105C / sce:YMR278W",22,"reversible","sce",10,0,1,0,7,11,0.523809523809524,0.000394788787998421,4,0.177038968733553,11,6,6,8,4.57926383406325e-17,2.09717320423731e-16,"NHNB","nonlethal",""
"20",20,64,"ec:5.3.1.9","gene","rn:R03321",385,302,"rectangle",46,17,"#BFFFBF","sce:YBR196C",23,"reversible","sce",10,1,1,0.0281705948372615,9,23,0.348484848484849,0.000395100750691426,4,0.822961031266446,10,6,6,20,6.90940685337481e-17,3.01427318351059e-16,"HB","nonlethal",""
"21",21,65,"ec:2.7.1.1","gene","rn:R01600",233,291,"rectangle",46,17,"#BFFFBF","sce:YCL040W / sce:YDR516C / sce:YFR053C / sce:YGL253W / sce:YLR446W",24,"irreversible","sce",10,0,1,0.00127946127946128,3,7,0.466666666666667,0.000394166338194718,4,0.658879199087736,11,6,6,9,0,7.21224752362412e-17,"NHNB","nonlethal",""
"22",22,67,"ec:5.3.1.9","gene","rn:R02739",357,264,"rectangle",46,17,"#BFFFBF","sce:YBR196C",26,"reversible","sce",10,1,1,0.0281705948372615,9,23,0.348484848484849,0.000395100750691426,4,0.822961031266446,10,6,6,20,6.90940685337481e-17,3.01427318351059e-16,"HB","nonlethal",""
"23",23,68,"ec:5.1.3.15","gene","rn:R02739",307,264,"rectangle",46,17,"#BFFFBF","sce:YMR099C",27,"reversible","sce",10,0,1,0.00224466891133558,5,23,0.638888888888889,0.000394011032308905,4,1,11,6,6,14,0,4.60662438421076e-17,"NHNB","nonlethal",""
"24",24,69,"ec:5.1.3.3","gene","rn:R01602",181,264,"rectangle",46,17,"#BFFFBF","sce:YBR019C",28,"reversible","sce",10,0,1,0.00224466891133558,5,0,0,0.000394011032308905,4,0.708704844426079,12,6,6,10,0,7.86516494666033e-17,"NHNB","nonlethal",""
"25",25,71,"ec:2.7.1.1","gene","rn:R01786",233,218,"rectangle",46,17,"#BFFFBF","sce:YCL040W / sce:YDR516C / sce:YFR053C / sce:YGL253W / sce:YLR446W",30,"irreversible","sce",10,0,1,0.00127946127946128,3,7,0.466666666666667,0.000394166338194718,4,0.658879199087736,11,6,6,9,0,7.21224752362412e-17,"NHNB","nonlethal",""
"26",26,75,"ec:1.8.1.4","gene","rn:R07618",262,913,"rectangle",46,17,"#BFFFBF","sce:YFL018C / sce:YPL017C",33,"reversible","sce",10,0,1,0,0,2,0.666666666666667,0.000324675324675325,2,1.75536150796954e-16,11,6,6,3,0.0781019863662695,0,"NHNB","nonlethal",""
"27",27,76,"ec:2.7.2.3","gene","rn:R01512",483,557,"rectangle",46,17,"#BFFFBF","sce:YCR012W",34,"reversible","sce",10,1,1,0,0,0,0,0.000324675324675325,1,3.51072301593907e-16,6,6,6,6,9.07750546356664e-17,0,"NHB","nonlethal",""
"28",28,116,"ec:4.1.1.49","gene","rn:R00341",239,747,"rectangle",46,17,"#BFFFBF","sce:YKR097W",41,"irreversible","sce",10,0,1,0.0107744107744108,2,10,0.476190476190476,0.000401767778224186,3,4.66776859598055e-16,9,6,6,7,5.14154403775117e-17,0.0848684716763524,"NHNB","nonlethal",""
"29",29,131,"ec:6.2.1.1","gene","rn:R00235",96,916,"rectangle",46,17,"#BFFFBF","sce:YAL054C / sce:YLR153C",48,"irreversible","sce",10,0,1,0,7,0,0,0.000824402308326463,2,5.8828626470054e-17,12,6,6,7,1.61459525053232e-16,0.00819114439609738,"NHNB","nonlethal",""
"30",30,28,"ec:1.8.1.4","gene","rn:R07618",467,623,"rectangle",46,17,"#BFFFBF","sce:YFL018C / sce:YPL017C",59,"reversible","sce",20,0,1,0.0639784946236559,4,4,0.4,0.00196078431372549,1,0,4,4,7,5,0.00163895927878754,0.13110066459591,"NHNB","nonlethal",""
"31",31,29,"ec:1.2.4.2","gene","rn:R00621",661,579,"rectangle",46,17,"#BFFFBF","sce:YIL125W",60,"irreversible","sce",20,0,1,0.0698924731182796,5,8,0.285714285714286,0.001194743130227,2,0,4,4,7,8,0.046372598041864,3.83170834253447e-16,"NHNB","nonlethal",""
"32",32,30,"ec:1.2.4.2","gene","rn:R03316",530,580,"rectangle",46,17,"#BFFFBF","sce:YIL125W",61,"irreversible","sce",20,0,1,0.0698924731182796,5,8,0.285714285714286,0.001194743130227,2,0,4,4,7,8,0.046372598041864,3.83170834253447e-16,"NHNB","nonlethal",""
"33",33,31,"ec:2.3.1.61","gene","rn:R02570",403,579,"rectangle",46,17,"#BFFFBF","sce:YDR148C",62,"reversible","sce",20,0,1,0.212903225806452,3,2,0.2,0.00218340611353712,3,7.80698733204072e-16,4,4,7,5,6.24568433592193e-17,0.0096065804900285,"NHNB","nonlethal",""
