"org","pathway","name","entrez","is_bottleneck","reaction_type"
"eco",10,"ec:4.1.2.13","eco:b2097 / eco:b2925",0,"reversible"
"eco",10,"ec:1.1.1.1","eco:b0356 / eco:b1241 / eco:b1478 / eco:b3589",0,"reversible"
"eco",10,"ec:1.2.4.1","eco:b0114",0,"irreversible"
"eco",10,"ec:1.2.4.1","eco:b0114",0,"irreversible"
"eco",10,"ec:2.3.1.12","eco:b0115",0,"reversible"
"eco",10,"ec:2.7.1.40","eco:b1676 / eco:b1854",0,"irreversible"
"eco",10,"ec:4.2.1.11","eco:b2779",1,"reversible"
"eco",10,"ec:5.4.2.11","eco:b0755",0,"reversible"
"eco",10,"ec:1.2.1.12","eco:b1779",1,"reversible"
"eco",10,"ec:5.3.1.1","eco:b3919",0,"reversible"
"eco",10,"ec:2.7.1.11","eco:b1723 / eco:b3916",0,"irreversible"
"eco",10,"ec:3.1.3.11","eco:b2930 / eco:b3925 / eco:b4232",0,"irreversible"
"eco",10,"ec:2.7.1.199","eco:b1101 / eco:b1621 / eco:b2417",0,"irreversible"
"eco",10,"ec:5.3.1.9","eco:b4025",1,"reversible"
"eco",10,"ec:5.4.2.2","eco:b0688",0,"reversible"
"eco",10,"ec:5.3.1.9","eco:b4025",1,"reversible"
"eco",10,"ec:2.7.1.2","eco:b2388",0,"irreversible"
"eco",10,"ec:5.3.1.9","eco:b4025",1,"reversible"
"eco",10,"ec:5.1.3.15","eco:b1780",0,"reversible"
"eco",10,"ec:5.1.3.3","eco:b0756 / eco:b3879",0,"reversible"
"eco",10,"ec:2.7.1.2","eco:b2388",0,"irreversible"
"eco",10,"ec:3.1.3.10","eco:b1002 / eco:b3885",0,"irreversible"
"eco",10,"ec:1.8.1.4","eco:b0116",0,"reversible"
"eco",10,"ec:2.7.2.3","eco:b2926",1,"reversible"
"eco",10,NA,"eco:b2417 / eco:b2715",0,"irreversible"
"eco",10,NA,"eco:b2417 / eco:b2715",0,"irreversible"
"eco",10,"ec:3.2.1.86","eco:b1734 / eco:b2716 / eco:b2901 / eco:b3721",0,"irreversible"
"eco",10,"ec:3.2.1.86","eco:b1734 / eco:b2716 / eco:b2901 / eco:b3721",0,"irreversible"
"eco",10,"ec:4.1.1.49","eco:b3403",0,"irreversible"
"eco",10,NA,"eco:b2453",0,"reversible"
"eco",10,"ec:1.2.7.1","eco:b1378",0,"reversible"
"eco",10,"ec:6.2.1.1","eco:b4069",1,"irreversible"
"eco",10,"ec:5.4.2.12","eco:b3612 / eco:b4395",0,"reversible"
"eco",10,NA,"eco:b3588",1,"reversible"
"eco",20,"ec:1.8.1.4","eco:b0116",0,"reversible"
"eco",20,"ec:1.2.4.2","eco:b0726",0,"irreversible"
"eco",20,"ec:1.2.4.2","eco:b0726",0,"irreversible"
"eco",20,"ec:2.3.1.61","eco:b0727",0,"reversible"
"eco",20,"ec:6.2.1.5","eco:b0728 / eco:b0729",0,"reversible"
"eco",20,"ec:1.1.1.42","eco:b1136",0,"reversible"
"eco",20,"ec:1.1.1.42","eco:b1136",0,"reversible"
"eco",20,"ec:4.2.1.2","eco:b1611 / eco:b1612 / eco:b4122",0,"reversible"
"eco",20,"ec:4.2.1.3","eco:b0118 / eco:b0771 / eco:b1276",0,"reversible"
"eco",20,"ec:4.2.1.3","eco:b0118 / eco:b0771 / eco:b1276",0,"reversible"
"eco",20,"ec:2.3.3.1","eco:b0720",0,"reversible"
"eco",20,"ec:1.1.1.37","eco:b3236",0,"reversible"
"eco",20,"ec:1.2.4.1","eco:b0114",0,"irreversible"
"eco",20,"ec:1.2.4.1","eco:b0114",0,"irreversible"
"eco",20,"ec:1.8.1.4","eco:b0116",0,"reversible"
"eco",20,"ec:2.3.1.12","eco:b0115",0,"reversible"
"eco",20,"ec:4.1.1.49","eco:b3403",0,"irreversible"
"eco",20,"ec:1.3.5.1","eco:b0721 / eco:b0722 / eco:b0723 / eco:b0724",0,"reversible"
"eco",20,"ec:1.1.5.4","eco:b2210",0,"irreversible"
"eco",20,"ec:1.3.5.4","eco:b0721 / eco:b0722 / eco:b0723 / eco:b0724 / eco:b4151 / eco:b4152 / eco:b4153 / eco:b4154",0,"reversible"
"eco",20,"ec:1.2.7.1","eco:b1378",0,"reversible"
"eco",30,"ec:2.7.4.23","eco:b4094",0,"irreversible"
"eco",30,"ec:5.3.1.9","eco:b4025",0,"reversible"
"eco",30,"ec:4.1.2.14","eco:b1850",0,"reversible"
"eco",30,"ec:2.7.1.15","eco:b3752",0,"reversible"
"eco",30,"ec:5.4.2.7","eco:b4383",0,"reversible"
"eco",30,"ec:4.1.2.4","eco:b4381",0,"reversible"
"eco",30,"ec:2.7.6.1","eco:b1207",1,"reversible"
"eco",30,"ec:5.4.2.7","eco:b4383",0,"reversible"
"eco",30,"ec:2.7.1.15","eco:b3752",0,"reversible"
"eco",30,"ec:2.2.1.1","eco:b2465 / eco:b2935",0,"reversible"
"eco",30,"ec:5.3.1.6","eco:b2914 / eco:b4090",0,"reversible"
"eco",30,"ec:5.1.3.1","eco:b3386",0,"reversible"
"eco",30,"ec:2.2.1.1","eco:b2465 / eco:b2935",0,"reversible"
"eco",30,"ec:4.1.2.13","eco:b2097 / eco:b2925",0,"reversible"
"eco",30,"ec:2.7.1.11","eco:b1723 / eco:b3916",0,"irreversible"
"eco",30,"ec:3.1.3.11","eco:b2930 / eco:b3925 / eco:b4232",0,"irreversible"
"eco",30,"ec:5.3.1.9","eco:b4025",0,"reversible"
"eco",30,"ec:1.1.1.44","eco:b2029",0,"irreversible"
"eco",30,"ec:3.1.1.31","eco:b0767",0,"irreversible"
"eco",30,"ec:1.1.1.49","eco:b1852",0,"irreversible"
"eco",30,"ec:2.7.1.45","eco:b3526",0,"irreversible"
"eco",30,"ec:4.2.1.12","eco:b1851",1,"irreversible"
"eco",30,"ec:2.7.1.12","eco:b3437 / eco:b4268",0,"irreversible"
"eco",30,"ec:1.1.5.2","eco:b0124",0,"irreversible"
"eco",30,"ec:2.2.1.2","eco:b0008 / eco:b2464",0,"reversible"
"eco",30,"ec:5.4.2.2","eco:b0688",0,"reversible"
"eco",30,"ec:1.1.1.215","eco:b3553",0,"reversible"
"eco",30,"ec:1.1.1.343","eco:b2029",0,"irreversible"
"eco",30,"ec:1.1.1.363","eco:b1852",0,"irreversible"
"eco",40,"ec:4.1.1.85","eco:b3581 / eco:b4196",0,"irreversible"
"eco",40,"ec:2.7.1.53","eco:b3580",1,"irreversible"
"eco",40,"ec:3.2.1.31","eco:b1617",0,"irreversible"
"eco",40,"ec:5.3.1.4","eco:b0062",0,"reversible"
"eco",40,"ec:2.7.1.16","eco:b0063",1,"reversible"
"eco",40,"ec:2.7.1.16","eco:b0063",1,"reversible"
"eco",40,"ec:5.1.3.1","eco:b3386",0,"reversible"
"eco",40,"ec:5.1.3.4","eco:b0061 / eco:b3583 / eco:b4198",0,"reversible"
"eco",40,"ec:5.1.3.22","eco:b3582 / eco:b4197",0,"reversible"
"eco",40,"ec:2.7.1.17","eco:b3564",1,"reversible"
"eco",40,"ec:4.1.2.28","eco:b0268 / eco:b4298",0,"reversible"
"eco",40,"ec:4.2.1.82","eco:b0269 / eco:b4297",0,"reversible"
"eco",40,"ec:2.7.1.53","eco:b3580",1,"reversible"
"eco",40,"ec:5.3.1.5","eco:b3565",0,"reversible"
"eco",40,"ec:2.7.7.9","eco:b1236 / eco:b2042",0,"irreversible"
"eco",40,"ec:1.1.1.22","eco:b2028",1,"reversible"
"eco",40,"ec:5.3.1.12","eco:b3092",1,"reversible"
"eco",40,"ec:1.1.1.57","eco:b4323",0,"reversible"
"eco",40,"ec:4.2.1.8","eco:b1581 / eco:b4322",0,"reversible"
"eco",40,"ec:4.2.1.7","eco:b3091",0,"irreversible"
"eco",40,"ec:5.3.1.12","eco:b3092",1,"irreversible"
"eco",40,"ec:1.1.1.58","eco:b1521",0,"irreversible"
"eco",40,"ec:1.1.1.130","eco:b3575",0,"reversible"
"eco",40,"ec:3.1.1.11","eco:b0772",0,"irreversible"
"eco",40,"ec:5.3.1.17","eco:b2843",0,"reversible"
"eco",40,"ec:1.1.1.127","eco:b2842",1,"reversible"
"eco",40,"ec:2.7.1.5","eco:b3904",1,"reversible"
"eco",40,"ec:4.1.2.19","eco:b3902",0,"reversible"
"eco",40,"ec:1.1.1.380","eco:b1580",0,"reversible"
"eco",51,"ec:2.7.1.202","eco:b2167 / eco:b2169",0,"irreversible"
"eco",51,"ec:5.3.1.5","eco:b3565",0,"reversible"
"eco",51,"ec:2.7.1.197","eco:b2933 / eco:b2934 / eco:b3599",0,"irreversible"
"eco",51,"ec:2.7.1.191","eco:b1817 / eco:b1818 / eco:b1819",0,"irreversible"
"eco",51,"ec:2.7.1.4","eco:b0394",0,"irreversible"
"eco",51,"ec:1.1.1.17","eco:b3600",1,"reversible"
"eco",51,"ec:5.3.1.8","eco:b1613",1,"reversible"
"eco",51,"ec:5.4.2.8","eco:b2048",1,"reversible"
