"org","pathway","name","entrez","is_bottleneck","reaction_type"
"hin",10,"ec:4.1.2.13","hin:HI0524",1,"reversible"
"hin",10,"ec:1.1.1.1","hin:HI0185",0,"reversible"
"hin",10,"ec:1.2.4.1","hin:HI1233",1,"irreversible"
"hin",10,"ec:1.2.4.1","hin:HI1233",1,"irreversible"
"hin",10,"ec:2.3.1.12","hin:HI1232",0,"reversible"
"hin",10,"ec:2.7.1.40","hin:HI1573",1,"irreversible"
"hin",10,"ec:4.2.1.11","hin:HI0932",1,"reversible"
"hin",10,"ec:5.4.2.11","hin:HI0757",1,"reversible"
"hin",10,"ec:1.2.1.12","hin:HI0001",1,"reversible"
"hin",10,"ec:5.3.1.1","hin:HI0678",0,"reversible"
"hin",10,"ec:2.7.1.11","hin:HI0982",0,"irreversible"
"hin",10,"ec:3.1.3.11","hin:HI0667 / hin:HI1645",0,"irreversible"
"hin",10,"ec:2.7.1.199","hin:HI1711",0,"irreversible"
"hin",10,"ec:5.3.1.9","hin:HI1576",1,"reversible"
"hin",10,"ec:5.3.1.9","hin:HI1576",1,"reversible"
"hin",10,"ec:5.3.1.9","hin:HI1576",1,"reversible"
"hin",10,"ec:5.1.3.15","hin:HI1317",0,"reversible"
"hin",10,"ec:5.1.3.3","hin:HI0818",0,"reversible"
"hin",10,"ec:1.8.1.4","hin:HI1231",0,"reversible"
"hin",10,"ec:2.7.2.3","hin:HI0525",1,"reversible"
"hin",10,NA,"hin:HI1711",0,"irreversible"
"hin",10,NA,"hin:HI1711",0,"irreversible"
"hin",10,"ec:4.1.1.49","hin:HI0809",0,"irreversible"
"hin",20,"ec:1.8.1.4","hin:HI1231",1,"reversible"
"hin",20,"ec:1.2.4.2","hin:HI1662",0,"irreversible"
"hin",20,"ec:1.2.4.2","hin:HI1662",0,"irreversible"
"hin",20,"ec:2.3.1.61","hin:HI1661",1,"reversible"
"hin",20,"ec:6.2.1.5","hin:HI1196 / hin:HI1197",0,"reversible"
"hin",20,"ec:4.2.1.2","hin:HI1398",1,"reversible"
"hin",20,"ec:1.1.1.37","hin:HI1210",1,"reversible"
"hin",20,"ec:1.2.4.1","hin:HI1233",0,"irreversible"
"hin",20,"ec:1.2.4.1","hin:HI1233",0,"irreversible"
"hin",20,"ec:1.8.1.4","hin:HI1231",1,"reversible"
"hin",20,"ec:2.3.1.12","hin:HI1232",0,"reversible"
"hin",20,"ec:4.1.1.49","hin:HI0809",0,"irreversible"
"hin",20,"ec:1.3.5.4","hin:HI0832 / hin:HI0833 / hin:HI0834 / hin:HI0835",0,"reversible"
