"org","pathway","name","entrez","is_bottleneck","reaction_type"
"pau",10,"ec:4.1.2.13","pau:PA14_07230",1,"reversible"
"pau",10,"ec:1.2.1.3","pau:PA14_51050 / pau:PA14_64740",0,"reversible"
"pau",10,"ec:1.1.1.1","pau:PA14_17400 / pau:PA14_71630",0,"reversible"
"pau",10,"ec:1.2.4.1","pau:PA14_19900 / pau:PA14_19910 / pau:PA14_66290",0,"irreversible"
"pau",10,"ec:1.2.4.1","pau:PA14_19900 / pau:PA14_19910 / pau:PA14_66290",0,"irreversible"
"pau",10,"ec:2.3.1.12","pau:PA14_10240 / pau:PA14_19920 / pau:PA14_66310",0,"reversible"
"pau",10,"ec:2.7.1.40","pau:PA14_45050 / pau:PA14_56240",0,"irreversible"
"pau",10,"ec:4.2.1.11","pau:PA14_17320",1,"reversible"
"pau",10,"ec:1.2.1.12","pau:PA14_22890 / pau:PA14_25250",0,"reversible"
"pau",10,"ec:5.3.1.1","pau:PA14_62830",0,"reversible"
"pau",10,"ec:3.1.3.11","pau:PA14_67490",1,"irreversible"
"pau",10,"ec:5.3.1.9","pau:PA14_62620",1,"reversible"
"pau",10,"ec:5.4.2.2","pau:PA14_70270",0,"reversible"
"pau",10,"ec:5.3.1.9","pau:PA14_62620",1,"reversible"
"pau",10,"ec:2.7.1.2","pau:PA14_22930",0,"irreversible"
"pau",10,"ec:5.3.1.9","pau:PA14_62620",1,"reversible"
"pau",10,"ec:5.1.3.15","pau:PA14_71570",0,"reversible"
"pau",10,"ec:2.7.1.2","pau:PA14_22930",0,"irreversible"
"pau",10,"ec:1.8.1.4","pau:PA14_35490 / pau:PA14_43970 / pau:PA14_63850",0,"reversible"
"pau",10,"ec:2.7.2.3","pau:PA14_07190",0,"reversible"
"pau",10,"ec:4.1.1.49","pau:PA14_68580",0,"irreversible"
"pau",10,"ec:1.2.1.9","pau:PA14_34600",0,"irreversible"
"pau",10,"ec:6.2.1.1","pau:PA14_31500 / pau:PA14_52800 / pau:PA14_62630",0,"irreversible"
"pau",10,"ec:1.1.2.8","pau:PA14_38860",0,"reversible"
"pau",10,"ec:5.4.2.12","pau:PA14_67770",1,"reversible"
"pau",10,NA,"pau:PA14_11810 / pau:PA14_38840",0,"reversible"
"pau",20,"ec:1.8.1.4","pau:PA14_35490 / pau:PA14_43970 / pau:PA14_63850",0,"reversible"
"pau",20,"ec:1.2.4.2","pau:PA14_44010",0,"irreversible"
"pau",20,"ec:1.2.4.2","pau:PA14_44010",0,"irreversible"
