"org","pathway","name","entrez","is_bottleneck","reaction_type"
"mpn",10,"ec:4.1.2.13","mpn:MPN025",1,"reversible"
"mpn",10,"ec:1.2.4.1","mpn:MPN392 / mpn:MPN393",0,"irreversible"
"mpn",10,"ec:1.2.4.1","mpn:MPN392 / mpn:MPN393",0,"irreversible"
"mpn",10,"ec:2.3.1.12","mpn:MPN391",0,"reversible"
"mpn",10,"ec:1.1.1.27","mpn:MPN674",0,"reversible"
"mpn",10,"ec:2.7.1.40","mpn:MPN303",1,"irreversible"
"mpn",10,"ec:4.2.1.11","mpn:MPN606",1,"reversible"
"mpn",10,"ec:1.2.1.12","mpn:MPN430",1,"reversible"
"mpn",10,"ec:5.3.1.1","mpn:MPN629",0,"reversible"
"mpn",10,"ec:2.7.1.11","mpn:MPN302",1,"irreversible"
"mpn",10,"ec:2.7.1.199","mpn:MPN207",0,"irreversible"
"mpn",10,"ec:5.3.1.9","mpn:MPN250",1,"reversible"
"mpn",10,"ec:5.3.1.9","mpn:MPN250",1,"reversible"
"mpn",10,"ec:5.3.1.9","mpn:MPN250",1,"reversible"
"mpn",10,"ec:1.8.1.4","mpn:MPN390",0,"reversible"
"mpn",10,"ec:2.7.2.3","mpn:MPN429",1,"reversible"
"mpn",10,NA,"mpn:MPN207",0,"irreversible"
"mpn",10,NA,"mpn:MPN207",0,"irreversible"
"mpn",10,"ec:5.4.2.12","mpn:MPN628",1,"reversible"
"mpn",20,"ec:1.8.1.4","mpn:MPN390",0,"reversible"
"mpn",20,"ec:1.2.4.1","mpn:MPN392 / mpn:MPN393",0,"irreversible"
"mpn",20,"ec:1.2.4.1","mpn:MPN392 / mpn:MPN393",0,"irreversible"
"mpn",20,"ec:1.8.1.4","mpn:MPN390",0,"reversible"
"mpn",20,"ec:2.3.1.12","mpn:MPN391",0,"reversible"
"mpn",30,"ec:5.3.1.9","mpn:MPN250",0,"reversible"
"mpn",30,"ec:4.1.2.4","mpn:MPN063",0,"reversible"
"mpn",30,"ec:2.7.6.1","mpn:MPN073",0,"reversible"
"mpn",30,"ec:2.2.1.1","mpn:MPN082",1,"reversible"
"mpn",30,"ec:5.3.1.6","mpn:MPN595",0,"reversible"
"mpn",30,"ec:5.1.3.1","mpn:MPN251",0,"reversible"
"mpn",30,"ec:2.2.1.1","mpn:MPN082",1,"reversible"
"mpn",30,"ec:4.1.2.13","mpn:MPN025",0,"reversible"
"mpn",30,"ec:2.7.1.11","mpn:MPN302",0,"irreversible"
"mpn",30,"ec:5.3.1.9","mpn:MPN250",0,"reversible"
"mpn",40,"ec:4.1.1.85","mpn:MPN493",0,"irreversible"
