"org","pathway","name","entrez","is_bottleneck","reaction_type"
"mtv",10,"ec:4.1.2.13","mtv:RVBD_0363c",1,"reversible"
"mtv",10,"ec:1.2.1.3","mtv:RVBD_0147 / mtv:RVBD_0223c / mtv:RVBD_0768 / mtv:RVBD_3293",0,"reversible"
"mtv",10,"ec:1.1.1.1","mtv:RVBD_0162c / mtv:RVBD_0761c / mtv:RVBD_1530 / mtv:RVBD_1862",0,"reversible"
"mtv",10,"ec:1.2.4.1","mtv:RVBD_0843 / mtv:RVBD_2241 / mtv:RVBD_2496c / mtv:RVBD_2497c",0,"irreversible"
"mtv",10,"ec:1.2.4.1","mtv:RVBD_0843 / mtv:RVBD_2241 / mtv:RVBD_2496c / mtv:RVBD_2497c",0,"irreversible"
"mtv",10,"ec:2.3.1.12","mtv:RVBD_2495c",0,"reversible"
"mtv",10,"ec:2.7.1.40","mtv:RVBD_1617",1,"irreversible"
"mtv",10,"ec:4.2.1.11","mtv:RVBD_1023",1,"reversible"
"mtv",10,"ec:5.4.2.11","mtv:RVBD_0489",1,"reversible"
"mtv",10,"ec:1.2.1.12","mtv:RVBD_1436",1,"reversible"
"mtv",10,"ec:5.3.1.1","mtv:RVBD_1438",0,"reversible"
"mtv",10,"ec:2.7.1.11","mtv:RVBD_2029c / mtv:RVBD_3010c",0,"irreversible"
"mtv",10,"ec:3.1.3.11","mtv:RVBD_1099c",0,"irreversible"
"mtv",10,"ec:5.3.1.9","mtv:RVBD_0946c",1,"reversible"
"mtv",10,"ec:5.4.2.2","mtv:RVBD_3068c",0,"reversible"
"mtv",10,"ec:5.3.1.9","mtv:RVBD_0946c",1,"reversible"
"mtv",10,"ec:2.7.1.2","mtv:RVBD_0650",0,"irreversible"
"mtv",10,"ec:5.3.1.9","mtv:RVBD_0946c",1,"reversible"
"mtv",10,"ec:2.7.1.2","mtv:RVBD_0650",0,"irreversible"
"mtv",10,"ec:1.8.1.4","mtv:RVBD_0462 / mtv:RVBD_0794c / mtv:RVBD_3303c",0,"reversible"
"mtv",10,"ec:2.7.2.3","mtv:RVBD_1437",1,"reversible"
"mtv",10,"ec:2.7.1.63","mtv:RVBD_2702",0,"irreversible"
"mtv",10,"ec:2.7.1.63","mtv:RVBD_2702",0,"irreversible"
"mtv",10,"ec:4.1.1.32","mtv:RVBD_0211",0,"irreversible"
"mtv",10,"ec:6.2.1.1","mtv:RVBD_3667",1,"irreversible"
"mtv",10,NA,"mtv:RVBD_0458",0,"reversible"
"mtv",10,"ec:1.2.7.11","mtv:RVBD_2454c / mtv:RVBD_2455c",0,"irreversible"
"mtv",10,"ec:2.7.1.90","mtv:RVBD_3010c",0,"reversible"
"mtv",20,"ec:1.8.1.4","mtv:RVBD_0462 / mtv:RVBD_0794c / mtv:RVBD_3303c",0,"reversible"
"mtv",20,"ec:2.3.1.61","mtv:RVBD_2215",0,"reversible"
"mtv",20,"ec:6.2.1.5","mtv:RVBD_0951 / mtv:RVBD_0952",0,"reversible"
"mtv",20,"ec:1.1.1.42","mtv:RVBD_0066c / mtv:RVBD_3339c",0,"reversible"
"mtv",20,"ec:1.1.1.42","mtv:RVBD_0066c / mtv:RVBD_3339c",0,"reversible"
"mtv",20,"ec:4.2.1.2","mtv:RVBD_1098c",0,"reversible"
"mtv",20,"ec:4.2.1.3","mtv:RVBD_1475c",0,"reversible"
"mtv",20,"ec:4.2.1.3","mtv:RVBD_1475c",0,"reversible"
"mtv",20,"ec:2.3.3.1","mtv:RVBD_0889c / mtv:RVBD_0896 / mtv:RVBD_1131",0,"reversible"
"mtv",20,"ec:1.1.1.37","mtv:RVBD_1240",0,"reversible"
"mtv",20,"ec:6.4.1.1","mtv:RVBD_2967c",0,"irreversible"
"mtv",20,"ec:1.2.4.1","mtv:RVBD_0843 / mtv:RVBD_2241 / mtv:RVBD_2496c / mtv:RVBD_2497c",0,"irreversible"
"mtv",20,"ec:1.2.4.1","mtv:RVBD_0843 / mtv:RVBD_2241 / mtv:RVBD_2496c / mtv:RVBD_2497c",0,"irreversible"
"mtv",20,"ec:1.8.1.4","mtv:RVBD_0462 / mtv:RVBD_0794c / mtv:RVBD_3303c",0,"reversible"
"mtv",20,"ec:2.3.1.12","mtv:RVBD_2495c",0,"reversible"
"mtv",20,"ec:4.1.1.32","mtv:RVBD_0211",0,"irreversible"
"mtv",20,"ec:1.3.5.1","mtv:RVBD_0247c / mtv:RVBD_0248c / mtv:RVBD_3316 / mtv:RVBD_3317 / mtv:RVBD_3318 / mtv:RVBD_3319",0,"reversible"
"mtv",20,"ec:1.1.5.4","mtv:RVBD_2852c",0,"irreversible"
"mtv",20,"ec:1.3.5.4","mtv:RVBD_0247c / mtv:RVBD_0248c / mtv:RVBD_1552 / mtv:RVBD_1553 / mtv:RVBD_1554 / mtv:RVBD_1555 / mtv:RVBD_3316 / mtv:RVBD_3317 / mtv:RVBD_3318 / mtv:RVBD_3319",0,"reversible"
"mtv",20,"ec:1.2.7.11","mtv:RVBD_2454c / mtv:RVBD_2455c",0,"reversible"
"mtv",20,"ec:1.2.7.11","mtv:RVBD_2454c / mtv:RVBD_2455c",0,"irreversible"
"mtv",20,"ec:1.2.7.3","mtv:RVBD_2454c / mtv:RVBD_2455c",0,"reversible"
