dictID,enzymeCode,org,pathway,isAp,occurrences,totalSpecies,frequency
1,ec:4.1.2.13,ec,10,1,5900,6084,96.9756738987508
2,ec:1.2.1.3,ec,10,0,3155,6084,51.8573307034845
3,ec:6.2.1.13,ec,10,0,358,6084,5.88428665351742
4,ec:1.2.1.5,ec,10,0,256,6084,4.2077580539119
5,ec:4.1.1.1,ec,10,0,282,6084,4.63510848126233
6,ec:1.1.1.2,ec,10,0,566,6084,9.30309007232084
7,ec:1.1.1.1,ec,10,0,4425,6084,72.7317554240631
8,ec:4.1.1.1,ec,10,0,282,6084,4.63510848126233
9,ec:1.2.4.1,ec,10,0,4984,6084,81.9197896120973
10,ec:1.2.4.1,ec,10,0,4984,6084,81.9197896120973
11,ec:2.3.1.12,ec,10,0,4909,6084,80.6870479947403
12,ec:1.1.1.27,ec,10,0,2155,6084,35.4207758053912
13,ec:2.7.1.40,ec,10,1,5581,6084,91.732412886259
14,ec:4.2.1.11,ec,10,1,5978,6084,98.2577251808021
15,ec:5.4.2.11,ec,10,0,3676,6084,60.4207758053912
16,ec:1.2.1.12,ec,10,0,5729,6084,94.1650230111769
17,ec:5.3.1.1,ec,10,0,5973,6084,98.1755424063116
18,ec:2.7.1.11,ec,10,0,4393,6084,72.2057856673241
19,ec:3.1.3.11,ec,10,0,4900,6084,80.5391190006575
20,ec:2.7.1.199,ec,10,0,1734,6084,28.5009861932939
21,ec:5.3.1.9,ec,10,0,5842,6084,96.0223537146614
22,ec:5.4.2.2,ec,10,0,4894,6084,80.4404996712689
23,ec:5.3.1.9,ec,10,0,5842,6084,96.0223537146614
24,ec:2.7.1.1,ec,10,0,576,6084,9.46745562130178
25,ec:2.7.1.2,ec,10,0,4250,6084,69.8553583168968
26,ec:5.3.1.9,ec,10,0,5842,6084,96.0223537146614
27,ec:5.1.3.15,ec,10,0,1612,6084,26.4957264957265
28,ec:5.1.3.3,ec,10,0,3484,6084,57.2649572649573
29,ec:2.7.1.2,ec,10,0,4250,6084,69.8553583168968
30,ec:2.7.1.1,ec,10,0,576,6084,9.46745562130178
31,ec:3.1.3.9,ec,10,0,203,6084,3.33662064431295
32,ec:3.1.3.10,ec,10,0,944,6084,15.5161078238001
33,ec:1.8.1.4,ec,10,0,5514,6084,90.6311637080868
34,ec:2.7.2.3,ec,10,0,5969,6084,98.1097961867193
35,ec:2.7.1.63,ec,10,0,883,6084,14.5134779750164
36,ec:2.7.1.63,ec,10,0,883,6084,14.5134779750164
37,ec:3.2.1.86,ec,10,0,1657,6084,27.2353714661407
38,ec:3.2.1.86,ec,10,0,1657,6084,27.2353714661407
39,ec:4.1.1.32,ec,10,0,1582,6084,26.0026298487837
40,ec:1.1.2.7,ec,10,0,63,6084,1.03550295857988
41,ec:4.1.1.49,ec,10,0,2733,6084,44.9211045364892
42,ec:1.2.1.59,ec,10,0,472,6084,7.75805391190007
43,ec:1.2.7.6,ec,10,0,89,6084,1.46285338593031
44,ec:1.2.1.9,ec,10,0,665,6084,10.9303090072321
45,ec:1.2.7.1,ec,10,0,1848,6084,30.3747534516765
46,ec:5.4.2.11,ec,10,0,144,6084,2.36686390532544
47,ec:5.4.2.4,ec,10,0,144,6084,2.36686390532544
48,ec:6.2.1.1,ec,10,0,4388,6084,72.1236028928337
49,ec:2.7.1.146,ec,10,0,118,6084,1.93951347797502
50,ec:2.7.1.147,ec,10,0,362,6084,5.9500328731098
51,ec:2.7.1.147,ec,10,0,362,6084,5.9500328731098
52,ec:1.1.2.8,ec,10,0,195,6084,3.2051282051282
53,ec:5.4.2.12,ec,10,0,3865,6084,63.5272846811308
54,ec:3.1.3.80,ec,10,0,344,6084,5.65417488494412
55,ec:1.2.1.90,ec,10,0,83,6084,1.36423405654175
56,ec:1.2.7.11,ec,10,0,1687,6084,27.7284681130835
57,ec:2.7.1.90,ec,10,0,1915,6084,31.4760026298488
58,ec:1.1.5.5,ec,10,0,34,6084,0.558842866535174
636,ec:1.3.8.1,ec,71,0,611,5170,11.8181818181818
637,ec:1.1.1.35,ec,71,1,3224,5170,62.3597678916828
638,ec:4.2.1.17,ec,71,0,3184,5170,61.5860735009671
639,ec:1.3.8.7,ec,71,0,2099,5170,40.5996131528046
640,ec:6.2.1.20,ec,71,0,877,5170,16.963249516441
641,ec:5.3.3.8,ec,71,0,1336,5170,25.8413926499033
642,ec:5.1.2.3,ec,71,0,1882,5170,36.4023210831721
643,ec:2.3.1.9,ec,71,0,4362,5170,84.3713733075435
644,ec:2.3.1.16,ec,71,0,3251,5170,62.8820116054159
645,ec:1.1.1.35,ec,71,0,3224,5170,62.3597678916828
646,ec:4.2.1.17,ec,71,0,3184,5170,61.5860735009671
647,ec:1.3.8.1,ec,71,0,611,5170,11.8181818181818
648,ec:1.3.8.7,ec,71,0,2099,5170,40.5996131528046
649,ec:1.1.1.211,ec,71,0,361,5170,6.9825918762089
650,ec:4.2.1.74,ec,71,0,0,5170,0
651,ec:1.3.8.8,ec,71,0,174,5170,3.36557059961315
652,ec:2.3.1.16,ec,71,0,3251,5170,62.8820116054159
653,ec:1.1.1.35,ec,71,0,3224,5170,62.3597678916828
654,ec:4.2.1.17,ec,71,0,3184,5170,61.5860735009671
655,ec:1.3.8.7,ec,71,0,2099,5170,40.5996131528046
656,ec:1.1.1.211,ec,71,0,361,5170,6.9825918762089
657,ec:4.2.1.74,ec,71,0,0,5170,0
658,ec:1.3.8.8,ec,71,0,174,5170,3.36557059961315
659,ec:2.3.1.16,ec,71,0,3251,5170,62.8820116054159
660,ec:1.1.1.35,ec,71,0,3224,5170,62.3597678916828
661,ec:4.2.1.17,ec,71,0,3184,5170,61.5860735009671
662,ec:1.3.8.7,ec,71,0,2099,5170,40.5996131528046
663,ec:1.3.8.8,ec,71,0,174,5170,3.36557059961315
664,ec:1.1.1.211,ec,71,0,361,5170,6.9825918762089
665,ec:4.2.1.74,ec,71,0,0,5170,0
666,ec:1.14.15.3,ec,71,0,584,5170,11.2959381044487
667,ec:1.18.1.1,ec,71,0,336,5170,6.49903288201161
668,ec:2.3.1.16,ec,71,0,3251,5170,62.8820116054159
669,ec:1.1.1.35,ec,71,0,3224,5170,62.3597678916828
670,ec:4.2.1.17,ec,71,0,3184,5170,61.5860735009671
671,ec:1.3.8.7,ec,71,0,2099,5170,40.5996131528046
672,ec:1.1.1.1,ec,71,0,4220,5170,81.6247582205029
673,ec:1.1.99.20,ec,71,0,0,5170,0
674,ec:1.3.8.6,ec,71,1,2241,5170,43.3462282398453
675,ec:6.2.1.6,ec,71,0,0,5170,0
676,ec:1.1.1.211,ec,71,0,361,5170,6.9825918762089
677,ec:4.2.1.74,ec,71,0,0,5170,0
678,ec:1.3.8.8,ec,71,0,174,5170,3.36557059961315
679,ec:2.3.1.16,ec,71,0,3251,5170,62.8820116054159
680,ec:4.2.1.17,ec,71,0,3184,5170,61.5860735009671
681,ec:1.3.8.7,ec,71,0,2099,5170,40.5996131528046
682,ec:1.1.1.35,ec,71,0,3224,5170,62.3597678916828
683,ec:1.2.5.2,ec,71,0,0,5170,0
684,ec:1.1.1.211,ec,71,0,361,5170,6.9825918762089
685,ec:4.2.1.74,ec,71,0,0,5170,0
686,ec:1.3.8.8,ec,71,0,174,5170,3.36557059961315
687,ec:1.14.14.80,ec,71,0,158,5170,3.05609284332689
688,ec:1.14.14.1,ec,71,0,389,5170,7.52417794970986
689,ec:2.3.1.16,ec,71,1,3251,5170,62.8820116054159
690,ec:1.1.1.35,ec,71,0,3224,5170,62.3597678916828
691,ec:4.2.1.17,ec,71,0,3184,5170,61.5860735009671
692,ec:1.3.8.7,ec,71,0,2099,5170,40.5996131528046
693,ec:6.2.1.3,ec,71,1,4335,5170,83.8491295938104
694,ec:1.1.1.211,ec,71,0,361,5170,6.9825918762089
695,ec:4.2.1.74,ec,71,0,0,5170,0
696,ec:1.3.8.8,ec,71,0,174,5170,3.36557059961315
697,ec:1.2.1.48,ec,71,1,0,5170,0
698,ec:1.1.1.192,ec,71,0,0,5170,0
699,ec:1.3.3.6,ec,71,0,882,5170,17.0599613152805
700,ec:1.3.3.6,ec,71,0,882,5170,17.0599613152805
701,ec:1.3.3.6,ec,71,0,882,5170,17.0599613152805
702,ec:1.3.3.6,ec,71,0,882,5170,17.0599613152805
703,ec:1.3.3.6,ec,71,0,882,5170,17.0599613152805
704,ec:1.3.3.6,ec,71,0,882,5170,17.0599613152805
705,ec:1.3.3.6,ec,71,0,882,5170,17.0599613152805
706,ec:1.18.1.3,ec,71,0,1215,5170,23.5009671179884
707,ec:1.18.1.4,ec,71,0,0,5170,0
708,ec:2.3.1.9,ec,71,0,4362,5170,84.3713733075435
709,ec:1.3.8.9,ec,71,0,217,5170,4.1972920696325
710,ec:1.3.8.9,ec,71,0,217,5170,4.1972920696325
711,ec:2.3.1.21,ec,71,1,257,5170,4.97098646034816
712,ec:2.3.1.21,ec,71,1,257,5170,4.97098646034816
713,ec:1.2.1.3,ec,71,0,3108,5170,60.1160541586073
714,ec:1.14.15.3,ec,71,0,584,5170,11.2959381044487
715,ec:2.3.1.16,ec,71,0,3251,5170,62.8820116054159
3952,ec:1.1.1.97,ec,623,1,0,2365,0
3953,ec:1.2.1.7,ec,623,0,0,2365,0
3954,ec:1.2.1.64,ec,623,0,0,2365,0
3955,ec:1.2.1.28,ec,623,0,361,2365,15.2642706131078
3956,ec:1.14.12.11,ec,623,1,5,2365,0.211416490486258
3957,ec:1.3.1.19,ec,623,1,5,2365,0.211416490486258
3958,ec:1.2.1.28,ec,623,0,361,2365,15.2642706131078
3959,ec:1.2.1.7,ec,623,0,0,2365,0
