"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9"
"1",4069,"ec","00627",55,102,"ec:1.14.13.167",0.051907604464054,9,5,6,6,6,6,6,6,6,6
"2",4074,"ec","00627",55,102,"ec:1.2.1.67",7.08538800934337,9,3,4,5,7,10,12,13,14,14
"3",4078,"ec","00627",55,102,"ec:6.2.1.32",11.6792110044121,9,3,6,8,14,24,29,31,32,32
"4",4081,"ec","00627",55,102,"ec:1.14.12.23",3.2701790812354,9,4,8,15,25,29,31,32,32,32
"5",4082,"ec","00627",55,102,"ec:5.4.4.1",1.99844277186608,9,2,3,4,7,10,16,25,29,31
"6",4084,"ec","00627",55,102,"ec:1.7.1.16",0,9,2,6,10,16,25,29,31,32,32
"7",4085,"ec","00627",55,102,"ec:1.7.1.16",0,9,2,4,7,10,16,25,29,31,32
"8",4086,"ec","00627",55,102,"ec:4.1.1.61",58.3441474175967,9,6,18,25,29,31,32,32,32,32
"9",4087,"ec","00627",55,102,"ec:1.14.13.7",5.06099143524526,9,4,12,23,28,31,32,32,32,32
"10",4103,"ec","00627",55,102,"ec:5.1.2.2",1.71295094731378,9,3,6,12,19,22,25,28,30,31
"11",4113,"ec","00627",55,102,"ec:1.97.1.2",0,9,2,5,8,9,10,12,13,14,14
"12",4114,"ec","00627",55,102,"ec:4.1.1.59",5.16480664417337,9,4,8,9,10,12,13,14,14,14
"13",4116,"ec","00627",55,102,"ec:2.1.1.341",1.53127433168959,9,5,8,10,12,13,14,14,14,14
"14",4117,"ec","00627",55,102,"ec:1.13.11.8",6.30677394238256,9,3,6,10,12,13,14,14,14,14
"15",4118,"ec","00627",55,102,"ec:1.1.1.312",3.50376330132364,9,3,8,11,13,14,14,14,14,14
