"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3"
"1",5229,"ec","00903",33,33,"ec:1.14.14.53",0,3,2,4,8
"2",5230,"ec","00903",33,33,"ec:1.14.13.107",6.17053103964099,3,2,4,6
"3",5231,"ec","00903",33,33,"ec:1.1.1.144",0,3,2,4,6
"4",5232,"ec","00903",33,33,"ec:1.14.14.51",0,3,3,6,11
"5",5233,"ec","00903",33,33,"ec:1.14.14.52",0,3,3,6,8
"6",5235,"ec","00903",33,33,"ec:1.1.1.275",0.785340314136126,3,2,6,8
"7",5236,"ec","00903",33,33,"ec:3.3.2.8",9.72326103216155,3,2,4,5
"8",5238,"ec","00903",33,33,"ec:1.1.1.243",0.074794315632012,3,2,7,10
"9",5239,"ec","00903",33,33,"ec:1.3.99.25",0,3,4,6,8
"10",5240,"ec","00903",33,33,"ec:1.1.1.297",0,3,2,3,4
"11",5241,"ec","00903",33,33,"ec:1.3.99.25",0,3,4,6,7
"12",5249,"ec","00903",33,33,"ec:3.3.2.8",9.72326103216155,3,2,5,7
"13",5250,"ec","00903",33,33,"ec:1.14.13.107",6.17053103964099,3,3,6,9
"14",5251,"ec","00903",33,33,"ec:1.1.1.297",0,3,2,3,5
"15",5256,"ec","00903",33,33,"ec:1.14.13.105",0,3,3,3,3
"16",5257,"ec","00903",33,33,"ec:1.14.13.105",0,3,4,5,6
"17",5258,"ec","00903",33,33,"ec:1.14.13.105",0,3,3,5,6
"18",5259,"ec","00903",33,33,"ec:1.14.13.105",0,3,3,3,3
