"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",6366,"ec","00998",39,29,"ec:2.6.1.104",8.43373493975904,7,2,2,2,2,2,2,2
"2",6370,"ec","00998",39,29,"ec:2.6.99.3",0,7,3,4,4,4,4,4,4
"3",6371,"ec","00998",39,29,"ec:5.1.1.19",0,7,2,4,4,4,4,4,4
"4",6389,"ec","00998",39,29,"ec:1.1.1.340",0.602409638554217,7,3,5,6,6,6,6,6
"5",6390,"ec","00998",39,29,"ec:1.14.13.170",0.903614457831325,7,3,5,6,6,6,6,6
"6",6391,"ec","00998",39,29,"ec:1.14.11.36",0.602409638554217,7,2,4,5,6,6,6,6
"7",6392,"ec","00998",39,29,"ec:1.14.11.35",0.602409638554217,7,2,4,5,6,6,6,6
"8",6396,"ec","00998",39,29,"ec:1.23.1.2",13.2530120481928,7,2,3,4,5,6,7,7
"9",6397,"ec","00998",39,29,"ec:1.1.1.331",0,7,2,4,5,6,7,7,7
"10",6398,"ec","00998",39,29,"ec:1.14.19.72",0,7,2,4,6,7,7,7,7
"11",6399,"ec","00998",39,29,"ec:2.1.1.323",0,7,2,4,6,7,7,7,7
"12",6400,"ec","00998",39,29,"ec:1.14.14.131",0,7,2,4,5,6,7,7,7
"13",6401,"ec","00998",39,29,"ec:2.1.1.330",0,7,2,3,4,5,6,7,7
"14",6407,"ec","00998",39,29,"ec:2.5.1.140",46.6867469879518,7,2,3,3,3,3,3,3
"15",6408,"ec","00998",39,29,"ec:1.5.1.51",39.6084337349398,7,2,3,3,3,3,3,3
