"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9"
"1",937,"ec","00140",121,387,"ec:1.14.15.6",97.9310344827586,9,3,6,11,33,59,75,86,90,92
"2",939,"ec","00140",121,387,"ec:1.14.15.6",97.9310344827586,9,6,30,58,75,86,90,92,92,92
"3",941,"ec","00140",121,387,"ec:1.14.14.19",88.2758620689655,9,3,10,33,59,75,86,90,92,92
"4",960,"ec","00140",121,387,"ec:1.14.14.1",100,9,9,25,48,67,77,86,90,92,92
"5",970,"ec","00140",121,387,"ec:1.3.1.22",100,9,5,18,35,56,77,86,90,92,92
"6",972,"ec","00140",121,387,"ec:1.14.15.5",4.13793103448276,9,5,12,24,42,63,81,89,91,92
"7",973,"ec","00140",121,387,"ec:1.3.1.3",95.8620689655172,9,3,6,12,24,42,63,81,89,91
"8",981,"ec","00140",121,387,"ec:1.1.1.146",73.7931034482759,9,3,3,3,3,3,3,3,3,3
"9",987,"ec","00140",121,387,"ec:1.3.1.22",100,9,11,32,53,76,86,90,92,92,92
"10",988,"ec","00140",121,387,"ec:1.1.1.50",8.27586206896552,9,3,11,31,53,76,86,90,92,92
"11",990,"ec","00140",121,387,"ec:1.1.1.213",22.7586206896552,9,3,13,32,53,76,86,90,92,92
"12",992,"ec","00140",121,387,"ec:1.1.1.149",17.9310344827586,9,3,13,32,53,76,86,90,92,92
"13",999,"ec","00140",121,387,"ec:1.3.1.3",95.8620689655172,9,6,14,23,48,77,89,91,92,92
"14",1000,"ec","00140",121,387,"ec:1.1.1.50",8.27586206896552,9,2,7,14,23,48,77,89,91,92
"15",1003,"ec","00140",121,387,"ec:1.3.1.3",95.8620689655172,9,2,8,15,24,48,77,89,91,92
"16",1004,"ec","00140",121,387,"ec:1.1.1.50",8.27586206896552,9,2,3,8,15,24,48,77,89,91
"17",1007,"ec","00140",121,387,"ec:1.1.1.146",73.7931034482759,9,6,14,24,48,77,89,91,92,92
"18",1012,"ec","00140",121,387,"ec:1.14.15.4",82.0689655172414,9,11,32,54,73,83,89,92,92,92
"19",1015,"ec","00140",121,387,"ec:1.3.1.3",95.8620689655172,9,12,33,54,73,83,89,92,92,92
"20",1018,"ec","00140",121,387,"ec:1.3.1.22",100,9,11,33,54,73,83,89,92,92,92
"21",1019,"ec","00140",121,387,"ec:1.1.1.50",8.27586206896552,9,2,12,33,54,73,83,89,92,92
"22",1028,"ec","00140",121,387,"ec:1.3.1.22",100,9,9,18,33,54,73,83,89,92,92
"23",1034,"ec","00140",121,387,"ec:1.14.14.1",68.9655172413793,9,10,19,21,23,23,23,23,23,23
"24",1035,"ec","00140",121,387,"ec:2.1.1.6",99.3103448275862,9,3,12,19,21,23,23,23,23,23
"25",1040,"ec","00140",121,387,"ec:2.1.1.6",99.3103448275862,9,3,9,20,21,23,23,23,23,23
"26",1041,"ec","00140",121,387,"ec:1.14.14.1",99.3103448275862,9,7,20,21,23,23,23,23,23,23
