"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4"
"1",3991,"ec","00624",24,31,"ec:1.2.1.78",1.1015911872705,4,3,5,7,12
"2",3992,"ec","00624",24,31,"ec:4.1.2.34",1.1015911872705,4,2,5,6,7
"3",3994,"ec","00624",24,31,"ec:1.13.11.38",1.34638922888617,4,2,3,5,6
"4",4002,"ec","00624",24,31,"ec:1.14.12.7",13.7086903304774,4,3,5,11,14
"5",4003,"ec","00624",24,31,"ec:1.3.1.64",6.36474908200734,4,2,9,12,14
"6",4004,"ec","00624",24,31,"ec:4.1.1.55",13.5862913096695,4,6,9,12,14
"7",4007,"ec","00624",24,31,"ec:1.14.12.15",0.611995104039168,4,2,8,10,11
"8",4008,"ec","00624",24,31,"ec:1.3.1.53",0.734394124847001,4,6,9,11,13
"9",4010,"ec","00624",24,31,"ec:1.14.13.23",0.244798041615667,4,6,8,10,13
"10",4011,"ec","00624",24,31,"ec:1.14.12.12",15.422276621787,4,2,2,2,2
"11",4017,"ec","00624",24,31,"ec:3.1.1.102",0,4,2,3,8,10
