"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6"
"1",3927,"ec","00622",30,28,"ec:1.1.1.90",19.2027432490356,6,3,3,3,3,3,3
"2",3928,"ec","00622",30,28,"ec:1.1.1.90",19.2027432490356,6,3,3,3,3,3,3
"3",3929,"ec","00622",30,28,"ec:1.1.1.90",19.2027432490356,6,3,3,3,3,3,3
"4",3935,"ec","00622",30,28,"ec:1.14.12.25",2.87183883411916,6,2,2,2,2,2,2
"5",3939,"ec","00622",30,28,"ec:1.13.11.2",56.1080154307758,6,2,3,4,6,8,10
"6",3940,"ec","00622",30,28,"ec:3.7.1.25",0.214316330904415,6,2,4,6,8,10,13
"7",3941,"ec","00622",30,28,"ec:1.13.11.2",56.1080154307758,6,3,6,7,9,11,12
"8",3943,"ec","00622",30,28,"ec:4.2.1.80",34.7192456065152,6,2,5,8,10,13,14
"9",3944,"ec","00622",30,28,"ec:4.1.3.39",37.6339477068153,6,3,6,9,13,14,14
"10",3945,"ec","00622",30,28,"ec:4.2.1.132",6.77239605657951,6,3,8,11,12,13,14
"11",3946,"ec","00622",30,28,"ec:4.1.3.43",6.25803686240892,6,3,7,11,13,14,14
