"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5"
"1",3817,"ec","00604",17,22,"ec:2.4.99.8",38.8297872340425,5,3,8,12,14,15
"2",3819,"ec","00604",17,22,"ec:2.4.1.92",34.5744680851064,5,2,4,8,12,14
"3",3820,"ec","00604",17,22,"ec:2.4.99.8",38.8297872340425,5,5,10,14,15,16
"4",3822,"ec","00604",17,22,"ec:2.4.1.62",31.3829787234043,5,2,4,8,12,14
"5",3824,"ec","00604",17,22,"ec:2.4.99.9",38.8297872340425,5,4,9,13,16,16
"6",3825,"ec","00604",17,22,"ec:2.4.1.92",34.5744680851064,5,2,6,11,14,16
"7",3826,"ec","00604",17,22,"ec:2.4.1.62",31.3829787234043,5,2,4,7,11,14
"8",3829,"ec","00604",17,22,"ec:2.4.99.4",41.4893617021277,5,2,3,4,7,11
"9",3830,"ec","00604",17,22,"ec:2.4.1.92",34.5744680851064,5,3,8,12,14,15
