"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10","neighborsL11"
"1",1504,"ec","00260",74,322,"ec:1.2.1.8",36.2514398551917,11,7,15,30,47,53,58,63,67,69,70,70
"2",1513,"ec","00260",74,322,"ec:4.2.1.22",27.9249629751522,11,12,34,50,55,60,63,67,69,70,70,70
"3",1525,"ec","00260",74,322,"ec:4.2.3.1",83.3635017278262,11,5,23,46,57,67,70,70,70,70,70,70
"4",1529,"ec","00260",74,322,"ec:1.2.1.11",89.4191212769459,11,4,8,11,16,33,53,60,68,70,70,70
"5",1532,"ec","00260",74,322,"ec:2.7.1.39",75.8104327793319,11,2,9,30,52,60,68,70,70,70,70,70
"6",1535,"ec","00260",74,322,"ec:1.1.1.3",83.3635017278262,11,4,9,15,33,53,60,68,70,70,70,70
"7",1540,"ec","00260",74,322,"ec:1.1.1.75",0,11,2,2,2,2,2,2,2,2,2,2,2
