"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2"
"1",2945,"ec","00512",9,18,"ec:2.4.99.4",60.4838709677419,2,3,8
"2",2948,"ec","00512",9,18,"ec:2.4.1.122",98.3870967741936,2,7,8
