"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6"
"1",4220,"ec","00640",61,225,"ec:1.1.1.59",3.63636363636364,6,6,11,17,33,49,54
"2",4222,"ec","00640",61,225,"ec:3.1.2.4",8.31404958677686,6,2,12,31,46,51,58
"3",4238,"ec","00640",61,225,"ec:4.2.1.54",0.132231404958678,6,6,21,36,45,54,56
"4",4243,"ec","00640",61,225,"ec:4.2.1.17",49.3719008264463,6,6,22,41,49,55,57
"5",4253,"ec","00640",61,225,"ec:2.3.1.9",72.0495867768595,6,5,11,14,16,21,36
"6",4254,"ec","00640",61,225,"ec:1.1.1.80",2.23140495867769,6,3,4,5,9,14,15
"7",4255,"ec","00640",61,225,"ec:4.1.1.4",7.68595041322314,6,3,5,9,14,15,16
"8",4256,"ec","00640",61,225,"ec:2.8.3.8",9.78512396694215,6,2,8,14,15,16,21
"9",4259,"ec","00640",61,225,"ec:1.2.1.87",4.84297520661157,6,18,35,41,46,51,55
"10",4261,"ec","00640",61,225,"ec:4.2.1.28",4.46280991735537,6,4,22,38,42,46,51
"11",4263,"ec","00640",61,225,"ec:1.1.1.77",6.89256198347107,6,4,7,23,38,42,46
"12",4270,"ec","00640",61,225,"ec:2.3.1.168",24.4462809917355,6,18,33,39,45,51,55
