"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2"
"1",6471,"ec","01053",5,5,"ec:1.3.1.28",62.4416796267496,1,2,4
"2",6477,"ec","01053",5,5,"ec:3.3.2.1",61.2752721617418,1,3,4
