"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10","neighborsL11","neighborsL12","neighborsL13","neighborsL14"
"1",6037,"ec","00950",89,199,"ec:2.3.1.150",0.952380952380952,14,2,5,9,12,18,25,33,42,56,65,70,71,71,71
"2",6039,"ec","00950",89,199,"ec:1.5.1.27",0.952380952380952,14,4,10,17,26,37,52,63,69,71,71,71,71,71,71
"3",6040,"ec","00950",89,199,"ec:1.14.19.67",0.952380952380952,14,4,6,12,20,29,40,55,65,70,71,71,71,71,71
"4",6041,"ec","00950",89,199,"ec:1.14.19.65",0,14,3,12,23,35,40,51,60,66,67,69,70,71,71,71
"5",6042,"ec","00950",89,199,"ec:1.14.19.64",0.952380952380952,14,2,5,14,24,35,40,51,60,66,67,69,70,71,71
"6",6043,"ec","00950",89,199,"ec:2.1.1.122",0.952380952380952,14,2,4,6,14,24,35,40,51,60,66,67,69,70,71
"7",6044,"ec","00950",89,199,"ec:1.14.14.97",0.952380952380952,14,2,3,4,6,14,24,35,40,51,60,66,67,69,70
"8",6046,"ec","00950",89,199,"ec:1.1.1.248",0.952380952380952,14,2,6,9,15,23,32,42,56,65,70,71,71,71,71
"9",6052,"ec","00950",89,199,"ec:2.1.1.117",4.76190476190476,14,5,16,26,35,41,52,60,66,67,69,70,71,71,71
"10",6060,"ec","00950",89,199,"ec:2.1.1.122",0.952380952380952,14,4,10,15,23,29,37,42,52,60,66,67,69,70,71
"11",6062,"ec","00950",89,199,"ec:1.14.14.100",0,14,3,5,6,7,7,7,7,7,7,7,7,7,7,7
"12",6063,"ec","00950",89,199,"ec:1.21.3.3",0.952380952380952,14,7,16,29,38,50,59,66,67,69,70,71,71,71,71
"13",6070,"ec","00950",89,199,"ec:1.14.19.51",0,14,6,12,23,33,48,58,65,67,69,70,71,71,71,71
"14",6078,"ec","00950",89,199,"ec:2.1.1.119",0,14,3,6,7,7,7,7,7,7,7,7,7,7,7,7
"15",6079,"ec","00950",89,199,"ec:1.14.14.101",0,14,3,5,7,7,7,7,7,7,7,7,7,7,7,7
"16",6080,"ec","00950",89,199,"ec:2.1.1.120",0,14,2,4,5,7,7,7,7,7,7,7,7,7,7,7
"17",6084,"ec","00950",89,199,"ec:1.14.19.54",0.952380952380952,14,6,15,24,34,49,60,66,69,70,71,71,71,71,71
"18",6092,"ec","00950",89,199,"ec:2.1.1.336",1.9047619047619,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"19",6106,"ec","00950",89,199,"ec:1.14.11.32",0.952380952380952,14,3,6,8,10,13,14,19,25,33,42,56,65,70,71
"20",6107,"ec","00950",89,199,"ec:1.14.11.31",0.952380952380952,14,3,6,8,9,10,13,14,19,25,33,42,56,65,70
"21",6108,"ec","00950",89,199,"ec:1.14.11.32",0.952380952380952,14,3,4,5,7,8,9,10,13,14,19,25,33,42,56
"22",6109,"ec","00950",89,199,"ec:1.14.14.166",0.952380952380952,14,3,6,12,16,23,29,37,42,52,60,66,67,69,70
"23",6110,"ec","00950",89,199,"ec:1.14.14.163",0.952380952380952,14,2,5,7,12,16,23,29,37,42,52,60,66,67,69
"24",6111,"ec","00950",89,199,"ec:2.3.1.285",0.952380952380952,14,2,3,5,7,12,16,23,29,37,42,52,60,66,67
"25",6115,"ec","00950",89,199,"ec:2.1.1.352",0.952380952380952,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"26",6125,"ec","00950",89,199,"ec:2.1.1.352",0.952380952380952,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"27",6126,"ec","00950",89,199,"ec:4.2.99.24",0.952380952380952,14,3,5,8,12,14,19,25,33,42,56,65,70,71,71
