"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",3185,"ec","00523",27,52,"ec:4.2.1.159",2.863659401926,7,8,18,24,26,26,26,26
"2",3186,"ec","00523",27,52,"ec:1.1.1.266",0,7,8,17,23,25,26,26,26
"3",3187,"ec","00523",27,52,"ec:4.2.1.46",98.0993411049164,7,8,17,23,25,26,26,26
"4",3191,"ec","00523",27,52,"ec:2.6.1.89",0.0253421186011151,7,2,9,18,23,25,26,26
"5",3193,"ec","00523",27,52,"ec:2.6.1.110",0.10136847440446,7,2,3,4,11,20,25,26
"6",3194,"ec","00523",27,52,"ec:2.6.1.33",0.253421186011151,7,8,18,24,25,26,26,26
"7",3195,"ec","00523",27,52,"ec:4.3.1.30",0.15205271160669,7,2,10,19,24,25,26,26
"8",3196,"ec","00523",27,52,"ec:2.6.1.106",1.19107957425241,7,2,3,10,19,24,25,26
"9",3198,"ec","00523",27,52,"ec:5.1.3.13",87.5063355296503,7,10,18,23,25,26,26,26
"10",3200,"ec","00523",27,52,"ec:5.1.3.27",0.0506842372022301,7,8,17,23,25,26,26,26
"11",3201,"ec","00523",27,52,"ec:1.1.1.384",1.72326406487582,7,2,10,20,25,26,26,26
"12",3202,"ec","00523",27,52,"ec:4.2.1.164",0.684237202230106,7,2,4,11,20,25,26,26
"13",3206,"ec","00523",27,52,"ec:5.3.2.4",0,7,8,18,23,25,26,26,26
"14",3208,"ec","00523",27,52,"ec:5.3.2.3",0,7,8,19,23,25,26,26,26
"15",3209,"ec","00523",27,52,"ec:2.6.1.90",0,7,3,10,19,23,25,26,26
