"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",2663,"ec","00460",47,88,"ec:4.2.1.66",0.762612436448964,7,8,24,30,31,32,32,32
"2",2666,"ec","00460",47,88,"ec:4.4.1.9",1.74032068830661,7,10,26,30,31,32,32,32
"3",2673,"ec","00460",47,88,"ec:4.1.2.10",1.72076652326946,7,11,27,31,32,32,32,32
"4",2674,"ec","00460",47,88,"ec:4.1.2.11",0,7,10,25,30,31,32,32,32
"5",2677,"ec","00460",47,88,"ec:1.4.99.5",1.13414157215487,7,8,24,30,31,32,32,32
"6",2678,"ec","00460",47,88,"ec:4.1.2.46",0,7,9,24,30,31,32,32,32
"7",2683,"ec","00460",47,88,"ec:1.14.14.39",0.0195541650371529,7,2,3,4,5,6,6,6
"8",2684,"ec","00460",47,88,"ec:1.14.14.39",0.0195541650371529,7,2,4,5,6,6,6,6
"9",2686,"ec","00460",47,88,"ec:1.14.14.38",0.0782166601486116,7,2,3,4,5,6,6,6
"10",2687,"ec","00460",47,88,"ec:1.14.14.38",0.0782166601486116,7,2,4,5,6,6,6,6
"11",2688,"ec","00460",47,88,"ec:1.14.14.37",0.156433320297223,7,4,11,25,30,31,32,32
"12",2693,"ec","00460",47,88,"ec:1.14.14.38",0.0782166601486116,7,2,3,4,5,6,6,6
"13",2694,"ec","00460",47,88,"ec:1.14.14.38",0.0782166601486116,7,2,4,5,6,6,6,6
"14",2695,"ec","00460",47,88,"ec:1.14.14.39",0.0195541650371529,7,2,3,4,5,6,6,6
"15",2696,"ec","00460",47,88,"ec:1.14.14.39",0.0195541650371529,7,2,4,5,6,6,6,6
"16",2709,"ec","00460",47,88,"ec:1.14.14.41",0.0195541650371529,7,2,4,6,6,6,6,6
"17",2710,"ec","00460",47,88,"ec:1.14.14.41",0.0195541650371529,7,2,4,6,6,6,6,6
"18",2711,"ec","00460",47,88,"ec:1.14.14.44",0.0586624951114587,7,2,3,7,16,29,32,32
"19",2712,"ec","00460",47,88,"ec:1.14.14.44",0.0586624951114587,7,5,15,29,32,32,32,32
"20",2713,"ec","00460",47,88,"ec:4.99.1.7",0.0195541650371529,7,2,7,16,29,32,32,32
