"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10"
"1",425,"ec","00061",170,1063,"ec:1.14.19.2",10.0255754475703,10,4,5,6,8,51,122,147,147,147,147
"2",434,"ec","00061",170,1063,"ec:4.2.1.59",72.1057118499574,10,3,7,51,122,147,147,147,147,147,147
"3",436,"ec","00061",170,1063,"ec:1.1.1.100",91.9011082693947,10,3,48,121,147,147,147,147,147,147,147
"4",558,"ec","00061",170,1063,"ec:1.14.19.2",10.0255754475703,10,12,51,117,144,146,147,147,147,147,147
"5",561,"ec","00061",170,1063,"ec:1.1.1.100",91.9011082693947,10,2,3,4,4,4,4,4,4,4,4
"6",572,"ec","00061",170,1063,"ec:2.3.1.39",88.6445012787724,10,4,5,6,9,11,12,12,12,12,12
"7",573,"ec","00061",170,1063,"ec:1.1.1.100",91.9011082693947,10,3,7,11,12,12,12,12,12,12,12
"8",574,"ec","00061",170,1063,"ec:4.2.1.59",75.4305200341006,10,4,8,10,12,12,12,12,12,12,12
"9",575,"ec","00061",170,1063,"ec:2.3.1.39",88.6445012787724,10,2,3,4,4,4,4,4,4,4,4
"10",576,"ec","00061",170,1063,"ec:2.3.1.179",85.5754475703325,10,2,4,4,4,4,4,4,4,4,4
