"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9"
"1",4841,"ec","00790",60,130,"ec:4.1.3.38",57.4136195907414,9,3,10,22,34,45,50,51,52,53
"2",4844,"ec","00790",60,130,"ec:1.5.1.3",77.7423683327742,9,4,9,15,26,36,45,50,51,52
"3",4850,"ec","00790",60,130,"ec:4.1.2.25",78.6313317678631,9,7,20,32,43,50,51,52,53,56
"4",4858,"ec","00790",60,130,"ec:3.4.19.9",5.70278430057028,9,4,6,9,15,26,36,45,50,51
"5",4860,"ec","00790",60,130,"ec:4.2.3.12",60.449513586045,9,12,25,38,45,48,51,52,53,56
"6",4861,"ec","00790",60,130,"ec:4.1.99.22",71.4693056021469,9,4,7,10,20,37,48,54,56,56
"7",4862,"ec","00790",60,130,"ec:2.8.1.12",67.0748071117075,9,2,4,10,12,14,23,37,48,54
"8",4863,"ec","00790",60,130,"ec:4.1.2.50",60.1979201610198,9,7,20,36,45,48,51,52,53,56
"9",4864,"ec","00790",60,130,"ec:4.3.99.3",57.7658503857766,9,2,9,21,36,45,48,51,52,53
"10",4865,"ec","00790",60,130,"ec:6.3.4.20",55.8034216705803,9,2,3,9,21,36,45,48,51,52
"11",4868,"ec","00790",60,130,"ec:6.3.2.33",0.888963435088896,9,2,2,2,2,2,2,2,2,2
"12",4871,"ec","00790",60,130,"ec:4.6.1.17",69.9765179469976,9,2,6,9,14,23,37,48,54,56
"13",4872,"ec","00790",60,130,"ec:2.7.7.75",55.2331432405233,9,2,6,7,10,12,14,23,37,48
"14",4873,"ec","00790",60,130,"ec:2.10.1.1",73.649781952365,9,4,5,6,7,10,12,14,23,37
"15",4890,"ec","00790",60,130,"ec:5.1.99.8",70.580342167058,9,3,8,20,32,43,50,51,52,53
"16",4898,"ec","00790",60,130,"ec:1.5.1.3",75.3270714525327,9,8,15,21,28,38,45,48,51,52
