"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3"
"1",3952,"ec","00623",36,37,"ec:1.1.1.97",0,3,3,3,3
"2",3956,"ec","00623",36,37,"ec:1.14.12.11",0.211416490486258,3,5,10,15
"3",3957,"ec","00623",36,37,"ec:1.3.1.19",0.211416490486258,3,3,7,10
"4",3960,"ec","00623",36,37,"ec:1.1.1.90",14.291754756871,3,3,7,10
"5",3961,"ec","00623",36,37,"ec:4.1.99.11",0.380549682875264,3,5,9,15
"6",3962,"ec","00623",36,37,"ec:2.8.3.15",0.972515856236786,3,2,6,9
"7",3966,"ec","00623",36,37,"ec:1.17.9.1",6.30021141649049,3,3,7,10
"8",3968,"ec","00623",36,37,"ec:1.2.1.62",0,3,2,2,2
"9",3974,"ec","00623",36,37,"ec:3.1.1.45",91.3742071881607,3,2,3,3
"10",3975,"ec","00623",36,37,"ec:1.3.1.32",1.2262156448203,3,2,3,3
"11",3979,"ec","00623",36,37,"ec:1.13.11.1",28.0761099365751,3,3,4,4
"12",3985,"ec","00623",36,37,"ec:1.14.15.26",0.0422832980972516,3,5,10,15
"13",3986,"ec","00623",36,37,"ec:1.14.13.236",5.62367864693446,3,5,10,15
