"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4"
"1",3740,"ec","00601",56,114,"ec:2.4.1.152",41.6666666666667,4,2,2,2,2
"2",3743,"ec","00601",56,114,"ec:2.4.1.65",17.5287356321839,4,2,2,2,2
"3",3747,"ec","00601",56,114,"ec:2.4.1.275",43.1034482758621,4,11,23,27,29
"4",3748,"ec","00601",56,114,"ec:2.4.1.65",17.5287356321839,4,6,12,15,15
"5",3750,"ec","00601",56,114,"ec:2.4.1.65",17.5287356321839,4,4,12,15,15
"6",3757,"ec","00601",56,114,"ec:2.4.1.152",41.6666666666667,4,6,12,15,15
"7",3765,"ec","00601",56,114,"ec:2.4.1.152",41.6666666666667,4,4,12,15,15
"8",3768,"ec","00601",56,114,"ec:2.4.99.6",31.0344827586207,4,8,18,23,27
"9",3778,"ec","00601",56,114,"ec:2.4.1.69",35.0574712643678,4,11,15,15,15
"10",3789,"ec","00601",56,114,"ec:2.4.1.40",25,4,4,12,14,22
