"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8"
"1",5270,"ec","00904",80,203,"ec:4.2.3.29",1.85185185185185,8,6,23,44,51,57,64,65,65
"2",5271,"ec","00904",80,203,"ec:4.2.3.18",0,8,10,23,45,59,64,65,65,65
"3",5275,"ec","00904",80,203,"ec:5.5.1.13",87.962962962963,8,16,41,51,57,64,65,65,65
"4",5276,"ec","00904",80,203,"ec:5.5.1.12",0.925925925925926,8,20,38,53,63,65,65,65,65
"5",5278,"ec","00904",80,203,"ec:4.2.3.17",0,8,12,38,49,58,64,65,65,65
"6",5279,"ec","00904",80,203,"ec:5.5.1.14",0.925925925925926,8,16,39,48,57,64,65,65,65
"7",5280,"ec","00904",80,203,"ec:1.14.99.37",0,8,3,15,40,50,58,64,65,65
"8",5281,"ec","00904",80,203,"ec:4.2.3.19",87.037037037037,8,6,21,44,51,57,64,65,65
"9",5282,"ec","00904",80,203,"ec:2.3.1.162",0,8,3,5,16,40,50,58,64,65
"10",5285,"ec","00904",80,203,"ec:1.14.14.105",0,8,2,4,5,16,40,50,58,64
"11",5304,"ec","00904",80,203,"ec:1.14.11.15",82.4074074074074,8,3,3,3,3,3,3,3,3
"12",5308,"ec","00904",80,203,"ec:1.14.11.15",50,8,3,3,3,3,3,3,3,3
"13",5312,"ec","00904",80,203,"ec:1.14.14.144",0,8,2,13,25,45,59,64,65,65
"14",5313,"ec","00904",80,203,"ec:4.2.1.133",0,8,13,36,48,57,64,65,65,65
"15",5314,"ec","00904",80,203,"ec:4.2.3.28",1.85185185185185,8,7,21,44,51,57,64,65,65
"16",5315,"ec","00904",80,203,"ec:1.14.14.145",0,8,3,4,13,25,45,59,64,65
"17",5316,"ec","00904",80,203,"ec:4.2.3.34",0,8,6,19,39,48,57,64,65,65
"18",5317,"ec","00904",80,203,"ec:4.2.3.35",1.85185185185185,8,7,19,39,48,57,64,65,65
"19",5319,"ec","00904",80,203,"ec:3.1.7.5",0,8,12,36,48,57,64,65,65,65
"20",5321,"ec","00904",80,203,"ec:4.2.3.103",1.85185185185185,8,6,22,44,51,57,64,65,65
"21",5322,"ec","00904",80,203,"ec:1.14.14.76",1.85185185185185,8,2,7,22,44,51,57,64,65
"22",5329,"ec","00904",80,203,"ec:4.2.3.144",61.1111111111111,8,12,36,48,57,64,65,65,65
"23",5331,"ec","00904",80,203,"ec:4.2.3.131",0.925925925925926,8,10,26,47,60,64,65,65,65
"24",5333,"ec","00904",80,203,"ec:1.14.13.190",0,8,5,18,31,48,60,64,65,65
"25",5349,"ec","00904",80,203,"ec:1.14.14.70",2.77777777777778,8,3,8,23,44,51,57,64,65
"26",5354,"ec","00904",80,203,"ec:4.2.1.173",0,8,12,36,48,57,64,65,65,65
