"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6"
"1",360,"ec","00053",52,109,"ec:1.1.1.365",0.887228578099463,6,2,3,4,8,12,17
"2",362,"ec","00053",52,109,"ec:3.1.3.93",2.8017744571562,6,3,7,16,19,22,27
"3",363,"ec","00053",52,109,"ec:2.7.7.69",2.42820452953537,6,3,6,8,16,19,22
"4",365,"ec","00053",52,109,"ec:5.1.3.18",2.56829325239318,6,2,4,6,8,16,19
"5",381,"ec","00053",52,109,"ec:1.2.1.3",68.7135185617558,6,4,16,31,36,39,43
"6",389,"ec","00053",52,109,"ec:4.2.1.25",8.26523464861079,6,3,9,13,15,18,26
"7",392,"ec","00053",52,109,"ec:3.1.1.15",8.4053233714686,6,3,5,9,13,15,18
"8",394,"ec","00053",52,109,"ec:1.1.1.203",12.2110670091058,6,2,4,8,12,17,25
"9",395,"ec","00053",52,109,"ec:5.5.1.27",3.22204062572963,6,5,10,16,25,38,41
"10",396,"ec","00053",52,109,"ec:5.4.1.4",1.96124212000934,6,2,7,12,17,25,38
"11",397,"ec","00053",52,109,"ec:1.1.3.8",5.86037823955172,6,11,17,23,32,38,41
"12",399,"ec","00053",52,109,"ec:2.7.1.53",11.4639271538641,6,2,3,4,4,4,4
"13",408,"ec","00053",52,109,"ec:4.1.1.85",14.9194489843568,6,2,4,4,4,4,4
"14",409,"ec","00053",52,109,"ec:5.1.3.22",18.7018445015176,6,2,3,4,4,4,4
