"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10"
"1",1893,"ec","00330",99,358,"ec:3.5.1.94",3.39855818743563,10,9,19,35,51,68,85,90,94,96,96
"2",1912,"ec","00330",99,358,"ec:2.1.4.1",5.90456573978716,10,13,28,57,86,90,94,96,96,96,96
"3",1939,"ec","00330",99,358,"ec:1.14.13.39",5.80157912804669,10,10,24,55,86,90,94,96,96,96,96
"4",1941,"ec","00330",99,358,"ec:1.14.14.47",6.90010298661174,10,10,24,55,86,90,94,96,96,96,96
"5",1956,"ec","00330",99,358,"ec:5.1.1.8",12.615859938208,10,6,16,31,59,81,93,96,96,96,96
"6",1957,"ec","00330",99,358,"ec:1.4.3.3",9.23446618606248,10,2,7,16,31,59,81,93,96,96,96
"7",1963,"ec","00330",99,358,"ec:1.2.1.88",68.4346035015448,10,5,11,20,33,59,81,93,96,96,96
