"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6"
"1",5487,"ec","00909",81,1100,"ec:3.1.7.6",0.405268490374873,6,43,51,52,53,53,53
"2",5496,"ec","00909",81,1100,"ec:4.2.3.37",2.33029381965552,6,42,51,52,53,53,53
"3",5497,"ec","00909",81,1100,"ec:4.2.3.22",12.5633232016211,6,42,51,52,53,53,53
"4",5499,"ec","00909",81,1100,"ec:4.2.3.23",1.1144883485309,6,42,52,53,53,53,53
"5",5504,"ec","00909",81,1100,"ec:4.2.3.21",0.709219858156028,6,42,51,52,53,53,53
"6",5508,"ec","00909",81,1100,"ec:4.2.3.7",0.60790273556231,6,42,51,52,53,53,53
"7",5517,"ec","00909",81,1100,"ec:1.14.14.95",0.303951367781155,6,2,44,53,53,53,53
"8",5519,"ec","00909",81,1100,"ec:1.14.14.95",0.303951367781155,6,2,3,44,53,53,53
"9",5523,"ec","00909",81,1100,"ec:4.2.3.55",0,6,42,51,52,53,53,53
"10",5527,"ec","00909",81,1100,"ec:4.2.3.61",0.405268490374873,6,42,51,52,53,53,53
"11",5542,"ec","00909",81,1100,"ec:5.4.99.39",7.49746707193516,6,21,26,26,26,26,26
"12",5550,"ec","00909",81,1100,"ec:1.14.14.17",23.6068895643364,6,25,26,26,26,26,26
"13",5563,"ec","00909",81,1100,"ec:4.2.3.89",0.709219858156028,6,42,51,52,53,53,53
