"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2"
"1",722,"ec","00073",13,14,"ec:1.14.14.80",94.059405940594,2,2,2
"2",730,"ec","00073",13,14,"ec:1.2.1.50",0,2,3,5
