"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10","neighborsL11","neighborsL12","neighborsL13","neighborsL14","neighborsL15"
"1",3214,"ec","00524",35,45,"ec:4.2.3.124",0.558659217877095,15,3,5,6,8,10,12,13,15,19,22,28,31,33,34,34
"2",3215,"ec","00524",35,45,"ec:2.6.1.100",0.558659217877095,15,3,6,8,10,12,13,15,19,22,28,31,33,34,34,34
"3",3217,"ec","00524",35,45,"ec:2.6.1.101",0.558659217877095,15,4,7,10,13,15,19,22,28,31,33,34,34,34,34,34
"4",3218,"ec","00524",35,45,"ec:3.5.1.112",0.558659217877095,15,3,6,11,16,20,28,31,33,34,34,34,34,34,34,34
"5",3219,"ec","00524",35,45,"ec:1.1.3.43",0.558659217877095,15,3,6,12,18,25,29,33,34,34,34,34,34,34,34,34
"6",3220,"ec","00524",35,45,"ec:2.6.1.93",0.558659217877095,15,3,9,13,21,27,30,32,34,34,34,34,34,34,34,34
"7",3221,"ec","00524",35,45,"ec:2.4.2.49",0.558659217877095,15,3,9,15,21,26,30,31,32,34,34,34,34,34,34,34
"8",3222,"ec","00524",35,45,"ec:3.1.3.88",0.558659217877095,15,3,8,14,19,24,27,30,31,32,34,34,34,34,34,34
"9",3224,"ec","00524",35,45,"ec:4.1.1.95",0,15,2,3,4,7,9,12,17,20,24,27,30,31,32,34,34
"10",3225,"ec","00524",35,45,"ec:6.2.1.39",0,15,2,4,7,9,12,17,20,24,27,30,31,32,34,34,34
"11",3226,"ec","00524",35,45,"ec:1.14.14.13",0,15,2,6,9,12,17,20,24,27,30,31,32,34,34,34,34
"12",3227,"ec","00524",35,45,"ec:2.3.2.19",0,15,4,7,11,17,20,24,27,30,31,32,34,34,34,34,34
"13",3229,"ec","00524",35,45,"ec:2.4.1.285",0.558659217877095,15,3,7,11,16,20,24,27,30,31,32,34,34,34,34,34
"14",3230,"ec","00524",35,45,"ec:3.5.1.113",0.558659217877095,15,2,5,8,11,16,20,24,27,30,31,32,34,34,34,34
"15",3233,"ec","00524",35,45,"ec:1.1.3.44",0.558659217877095,15,2,3,5,8,11,16,20,24,27,30,31,32,34,34,34
"16",3234,"ec","00524",35,45,"ec:2.4.1.284",0.558659217877095,15,3,6,9,11,15,19,22,28,31,33,34,34,34,34,34
"17",3236,"ec","00524",35,45,"ec:2.4.1.301",0,15,5,8,15,20,24,29,31,32,34,34,34,34,34,34,34
"18",3237,"ec","00524",35,45,"ec:2.4.1.301",0,15,4,5,8,10,12,16,20,24,29,31,32,34,34,34,34
"19",3239,"ec","00524",35,45,"ec:1.1.1.355",0,15,4,8,10,12,16,20,24,29,31,32,34,34,34,34,34
"20",3240,"ec","00524",35,45,"ec:1.14.11.37",0,15,4,9,12,16,20,24,29,31,32,34,34,34,34,34,34
"21",3248,"ec","00524",35,45,"ec:2.4.1.283",0.558659217877095,15,3,8,10,13,19,22,28,31,33,34,34,34,34,34,34
