"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",3136,"ec","00521",14,15,"ec:2.7.1.65",0.0195848021934978,7,2,4,5,6,9,10,11
"2",3137,"ec","00521",14,15,"ec:3.1.3.25",0,7,2,6,8,10,12,13,13
"3",3138,"ec","00521",14,15,"ec:5.5.1.4",19.8981590285938,7,4,6,8,10,12,13,13
"4",3142,"ec","00521",14,15,"ec:5.1.3.13",68.8209949079514,7,2,3,4,7,8,9,10
"5",3143,"ec","00521",14,15,"ec:4.2.1.46",78.6525656090873,7,2,4,7,8,9,10,11
"6",3144,"ec","00521",14,15,"ec:2.7.7.24",77.7124951037995,7,2,6,8,9,10,11,12
"7",3145,"ec","00521",14,15,"ec:5.4.2.2",84.3321582452017,7,4,6,8,10,11,12,13
"8",3146,"ec","00521",14,15,"ec:2.1.4.2",0.0391696043869957,7,2,3,4,5,6,9,10
"9",3147,"ec","00521",14,15,"ec:1.1.1.18",24.6376811594203,7,2,4,8,10,11,12,13
"10",3148,"ec","00521",14,15,"ec:2.6.1.50",0.0391696043869957,7,2,4,6,9,10,11,12
