"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8"
"1",3267,"ec","00531",23,21,"ec:3.10.1.1",51.0593220338983,8,2,4,6,7,8,8,8,8
"2",3269,"ec","00531",23,21,"ec:3.1.6.14",48.5169491525424,8,3,4,5,5,5,5,5,5
"3",3272,"ec","00531",23,21,"ec:3.1.6.13",48.9406779661017,8,2,3,4,5,6,7,8,8
"4",3273,"ec","00531",23,21,"ec:3.1.6.4",35.3813559322034,8,2,4,5,5,5,5,5,5
"5",3274,"ec","00531",23,21,"ec:3.2.1.76",39.8305084745763,8,3,4,4,4,4,4,4,4
"6",3275,"ec","00531",23,21,"ec:3.2.1.76",39.8305084745763,8,2,4,5,6,7,8,8,8
"7",3276,"ec","00531",23,21,"ec:3.1.6.12",37.9237288135593,8,3,4,4,4,4,4,4,4
"8",3277,"ec","00531",23,21,"ec:3.2.1.23",70.5508474576271,8,3,5,5,5,5,5,5,5
"9",3279,"ec","00531",23,21,"ec:2.3.1.78",71.1864406779661,8,2,4,6,8,8,8,8,8
"10",3282,"ec","00531",23,21,"ec:3.2.1.50",75.635593220339,8,2,4,6,7,8,8,8,8
"11",3283,"ec","00531",23,21,"ec:3.1.6.18",0,8,2,4,5,6,7,8,8,8
"12",3285,"ec","00531",23,21,"ec:3.2.1.31",54.6610169491525,8,2,3,4,5,6,7,8,8
"13",3288,"ec","00531",23,21,"ec:3.2.1.31",54.6610169491525,8,2,2,2,2,2,2,2,2
