"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2"
"1",2326,"ec","00364",20,18,"ec:3.1.1.45",94.2869603139991,2,2,4
"2",2327,"ec","00364",20,18,"ec:3.1.1.45",94.2869603139991,2,2,4
"3",2328,"ec","00364",20,18,"ec:1.13.11.1",29.3065852594854,2,2,4
"4",2330,"ec","00364",20,18,"ec:1.14.12.10",21.325774095072,2,2,4
"5",2331,"ec","00364",20,18,"ec:1.3.1.25",19.2760575665068,2,2,5
"6",2333,"ec","00364",20,18,"ec:6.2.1.33",0,2,2,3
"7",2335,"ec","00364",20,18,"ec:5.5.1.1",25.3815961622329,2,2,5
"8",2336,"ec","00364",20,18,"ec:1.3.1.25",19.2760575665068,2,2,3
"9",2337,"ec","00364",20,18,"ec:5.5.1.7",0.305276929786306,2,2,4
"10",2338,"ec","00364",20,18,"ec:1.3.1.25",19.2760575665068,2,2,4
"11",2339,"ec","00364",20,18,"ec:1.13.11.1",29.3065852594854,2,3,6
"12",2346,"ec","00364",20,18,"ec:1.3.1.32",1.2647187091147,2,2,4
