"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10"
"1",1806,"ec","00310",63,146,"ec:5.4.3.3",2.31127679403541,10,5,17,24,30,35,40,44,44,44,44
"2",1837,"ec","00310",63,146,"ec:1.14.11.1",7.25069897483691,10,2,2,2,2,2,2,2,2,2,2
"3",1847,"ec","00310",63,146,"ec:1.14.11.4",4.21248835041938,10,4,7,10,10,10,10,10,10,10,10
"4",1852,"ec","00310",63,146,"ec:6.3.2.38",3.05684995340168,10,2,3,14,24,31,35,40,44,44,44
"5",1853,"ec","00310",63,146,"ec:2.3.1.102",3.01957129543336,10,2,14,24,31,35,40,44,44,44,44
"6",1858,"ec","00310",63,146,"ec:4.2.3.134",2.57222739981361,10,4,7,18,29,39,42,44,44,44,44
"7",1868,"ec","00310",63,146,"ec:1.14.13.59",13.1034482758621,10,12,23,31,35,40,44,44,44,44,44
