"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8"
"1",2434,"ec","00400",53,169,"ec:4.2.3.5",90.0427715996578,8,5,14,37,41,48,50,52,52
"2",2438,"ec","00400",53,169,"ec:4.1.1.48",81.4542343883661,8,3,4,5,9,17,37,41,43
"3",2439,"ec","00400",53,169,"ec:5.3.1.24",81.1291702309666,8,2,5,9,17,37,41,43,48
"4",2440,"ec","00400",53,169,"ec:2.4.2.18",81.180496150556,8,2,7,17,37,41,43,48,50
"5",2441,"ec","00400",53,169,"ec:4.1.3.27",82.3952095808383,8,5,14,35,41,43,48,50,52
"6",2442,"ec","00400",53,169,"ec:5.4.99.5",83.2164242942686,8,11,32,35,39,43,48,50,52
"7",2458,"ec","00400",53,169,"ec:2.5.1.19",89.2899914456801,8,2,9,19,44,48,52,52,52
"8",2459,"ec","00400",53,169,"ec:2.7.1.71",89.5808383233533,8,4,7,16,26,48,50,52,52
"9",2461,"ec","00400",53,169,"ec:4.2.1.10",90.1283147989735,8,9,12,15,16,20,28,48,50
"10",2463,"ec","00400",53,169,"ec:4.2.3.4",85.9709153122327,8,6,11,14,15,16,20,28,48
"11",2472,"ec","00400",53,169,"ec:1.4.1.24",3.84944396920445,8,6,13,14,15,16,20,28,48
"12",2473,"ec","00400",53,169,"ec:2.2.1.10",3.25064157399487,8,3,8,13,14,15,16,20,28
