"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10"
"1",872,"ec","00130",58,82,"ec:4.2.99.20",23.2355126300149,10,2,4,7,14,18,22,26,26,26,26
"2",873,"ec","00130",58,82,"ec:4.1.3.36",41.4561664190193,10,2,4,6,10,11,13,19,22,25,26
"3",874,"ec","00130",58,82,"ec:6.2.1.26",40.3417533432392,10,2,4,6,8,13,19,22,25,26,26
"4",875,"ec","00130",58,82,"ec:4.2.1.113",36.0512630014859,10,2,4,6,9,16,22,25,26,26,26
"5",876,"ec","00130",58,82,"ec:2.2.1.9",40.1931649331352,10,2,5,12,16,20,22,23,26,26,26
"6",878,"ec","00130",58,82,"ec:1.14.13.240",18.3878157503715,10,2,4,8,10,12,15,18,19,20,21
"7",879,"ec","00130",58,82,"ec:4.1.1.98",50.6315007429421,10,3,8,10,12,15,18,19,20,21,22
"8",883,"ec","00130",58,82,"ec:4.1.3.40",29.8848439821694,10,7,10,14,18,19,20,21,22,23,26
"9",884,"ec","00130",58,82,"ec:5.4.4.2",45.3194650817236,10,3,10,14,18,20,21,22,23,26,26
"10",885,"ec","00130",58,82,"ec:3.1.2.28",22.2511144130758,10,2,4,8,9,10,11,13,19,22,25
"11",887,"ec","00130",58,82,"ec:1.13.11.27",42.4219910846954,10,5,10,14,16,16,16,16,16,16,16
"12",889,"ec","00130",58,82,"ec:2.1.1.295",3.91901931649331,10,3,8,13,15,16,16,16,16,16,16
"13",894,"ec","00130",58,82,"ec:2.1.1.163",82.5408618127786,10,5,5,6,7,8,9,10,11,13,19
"14",895,"ec","00130",58,82,"ec:5.5.1.24",3.39895988112927,10,3,7,13,15,16,16,16,16,16,16
"15",896,"ec","00130",58,82,"ec:2.5.1.74",43.9450222882615,10,2,6,7,8,9,10,11,13,19,22
"16",899,"ec","00130",58,82,"ec:5.5.1.24",3.39895988112927,10,2,4,8,13,15,16,16,16,16,16
"17",901,"ec","00130",58,82,"ec:2.5.1.115",3.47325408618128,10,5,12,15,16,16,16,16,16,16,16
"18",907,"ec","00130",58,82,"ec:2.5.1.117",1.98736998514116,10,4,10,14,16,16,16,16,16,16,16
"19",920,"ec","00130",58,82,"ec:4.2.1.151",10.5869242199108,10,3,11,15,17,19,20,21,22,23,26
"20",921,"ec","00130",58,82,"ec:2.5.1.120",10.6426448736999,10,3,7,13,15,17,19,20,21,22,23
"21",924,"ec","00130",58,82,"ec:5.5.1.24",3.39895988112927,10,3,7,13,15,16,16,16,16,16,16
"22",926,"ec","00130",58,82,"ec:5.5.1.24",3.39895988112927,10,2,4,8,13,15,16,16,16,16,16
"23",928,"ec","00130",58,82,"ec:2.5.1.116",3.47325408618128,10,5,12,15,16,16,16,16,16,16,16
"24",929,"ec","00130",58,82,"ec:2.1.1.295",3.91901931649331,10,3,8,13,15,16,16,16,16,16,16
"25",930,"ec","00130",58,82,"ec:1.6.5.12",4.19762258543834,10,2,4,5,5,5,5,5,5,5,5
"26",931,"ec","00130",58,82,"ec:2.1.1.329",4.03046062407132,10,3,5,5,5,5,5,5,5,5,5
