"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10","neighborsL11","neighborsL12","neighborsL13","neighborsL14"
"1",736,"ec","00100",55,70,"ec:1.14.19.20",38.3194829178209,14,2,3,4,5,7,9,11,13,15,16,17,18,19,21
"2",738,"ec","00100",55,70,"ec:1.3.1.21",29.8245614035088,14,6,8,10,12,13,14,15,16,17,19,21,23,25,27
"3",739,"ec","00100",55,70,"ec:1.14.19.20",38.3194829178209,14,4,10,12,13,14,15,16,17,19,21,23,25,27,28
"4",742,"ec","00100",55,70,"ec:1.14.19.41",11.0803324099723,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"5",745,"ec","00100",55,70,"ec:1.14.19.20",38.3194829178209,14,2,3,4,6,8,10,12,14,16,17,18,19,21,25
"6",751,"ec","00100",55,70,"ec:5.4.99.8",10.0646352723915,14,3,8,10,13,15,17,19,21,24,29,33,36,40,45
"7",752,"ec","00100",55,70,"ec:5.5.1.9",11.5420129270545,14,2,4,6,9,12,16,22,25,28,29,30,31,32,33
"8",753,"ec","00100",55,70,"ec:1.14.14.154",50.9695290858726,14,2,4,7,10,13,16,20,25,26,28,29,30,31,32
"9",754,"ec","00100",55,70,"ec:2.1.1.143",8.95660203139428,14,3,6,9,12,15,16,17,18,19,21,25,26,28,29
"10",755,"ec","00100",55,70,"ec:1.3.1.70",33.1486611265005,14,2,5,8,11,14,17,19,21,25,26,28,29,30,31
"11",756,"ec","00100",55,70,"ec:2.1.1.41",22.9916897506925,14,2,5,10,12,15,17,19,22,25,28,33,37,39,41
"12",758,"ec","00100",55,70,"ec:5.4.99.7",28.4395198522622,14,5,8,11,13,15,17,19,21,25,29,32,36,42,44
"13",759,"ec","00100",55,70,"ec:1.3.1.70",38.8734995383195,14,4,7,10,13,15,17,21,24,26,29,34,36,38,40
"14",760,"ec","00100",55,70,"ec:5.3.3.5",27.2391505078486,14,3,6,9,12,15,17,18,19,21,25,26,28,29,30
"15",761,"ec","00100",55,70,"ec:1.1.1.170",26.9621421975993,14,2,5,8,11,16,20,22,25,30,31,32,33,34,36
"16",765,"ec","00100",55,70,"ec:1.14.18.9",25.0230840258541,14,3,6,9,12,15,19,22,24,27,32,33,34,36,38
"17",767,"ec","00100",55,70,"ec:1.1.1.270",25.1154201292705,14,2,4,7,12,16,19,23,28,29,30,31,32,33,34
"18",772,"ec","00100",55,70,"ec:1.14.15.18",11.9113573407202,14,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"19",773,"ec","00100",55,70,"ec:1.14.18.11",9.97229916897507,14,3,6,9,12,14,16,17,18,19,21,25,26,28,29
"20",774,"ec","00100",55,70,"ec:1.14.18.10",8.40258541089566,14,2,4,7,12,14,17,20,23,26,29,32,36,38,39
"21",775,"ec","00100",55,70,"ec:1.14.18.11",9.97229916897507,14,2,5,8,11,13,15,16,17,18,19,21,25,26,28
"22",780,"ec","00100",55,70,"ec:1.14.14.17",37.1191135734072,14,3,7,9,12,14,16,18,20,22,27,31,34,38,44
"23",785,"ec","00100",55,70,"ec:1.1.1.418",9.41828254847645,14,2,4,6,9,14,17,21,24,27,30,32,33,36,38
"24",786,"ec","00100",55,70,"ec:1.1.1.418",9.41828254847645,14,2,5,8,10,12,14,16,17,18,19,21,25,26,28
"25",787,"ec","00100",55,70,"ec:1.1.1.418",9.41828254847645,14,2,4,7,9,11,13,15,16,17,18,19,21,25,26
"26",788,"ec","00100",55,70,"ec:1.1.1.270",0,14,2,4,6,8,12,18,21,25,28,30,31,32,33,36
"27",789,"ec","00100",55,70,"ec:1.1.1.270",0,14,2,4,6,8,10,12,14,16,17,18,19,21,25,26
"28",790,"ec","00100",55,70,"ec:1.1.1.270",0,14,2,4,5,7,9,11,13,15,16,17,18,19,21,25
"29",791,"ec","00100",55,70,"ec:1.14.18.9",25.0230840258541,14,2,4,8,12,15,19,25,27,28,29,30,31,32,33
"30",792,"ec","00100",55,70,"ec:1.1.1.170",26.9621421975993,14,2,6,9,11,15,21,23,25,27,28,29,30,31,32
"31",793,"ec","00100",55,70,"ec:1.1.1.270",25.1154201292705,14,4,7,9,12,17,19,21,23,25,27,28,29,30,31
