"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5"
"1",5881,"ec","00942",43,114,"ec:2.3.1.172",0,5,2,4,10,12,12
"2",5884,"ec","00942",43,114,"ec:2.4.1.298",8.86075949367089,5,8,11,12,12,12
"3",5885,"ec","00942",43,114,"ec:2.3.1.215",1.26582278481013,5,3,10,12,12,12
"4",5887,"ec","00942",43,114,"ec:2.3.1.171",0,5,9,13,14,14,14
"5",5897,"ec","00942",43,114,"ec:2.4.1.238",0,5,2,10,13,14,14
"6",5899,"ec","00942",43,114,"ec:2.3.1.171",0,5,9,13,14,14,14
"7",5905,"ec","00942",43,114,"ec:2.3.1.153",0,5,4,10,13,14,14
"8",5908,"ec","00942",43,114,"ec:2.4.2.51",40.5063291139241,5,8,10,11,12,12
"9",5910,"ec","00942",43,114,"ec:2.4.2.51",40.5063291139241,5,9,13,14,14,14
"10",5912,"ec","00942",43,114,"ec:2.4.2.51",40.5063291139241,5,8,12,14,14,14
