"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",2509,"ec","00404",17,14,"ec:1.14.14.118",2.7027027027027,7,2,3,4,5,6,7,7
"2",2510,"ec","00404",17,14,"ec:2.1.1.293",2.7027027027027,7,2,4,5,6,7,7,7
"3",2511,"ec","00404",17,14,"ec:1.14.19.71",2.7027027027027,7,2,4,6,7,7,7,7
"4",2512,"ec","00404",17,14,"ec:1.14.14.119",4.05405405405405,7,2,4,6,7,7,7,7
"5",2513,"ec","00404",17,14,"ec:2.5.1.110",2.7027027027027,7,2,4,5,6,7,7,7
"6",2514,"ec","00404",17,14,"ec:1.14.11.38",2.7027027027027,7,2,3,4,5,6,7,7
"7",2519,"ec","00404",17,14,"ec:1.4.3.23",0,7,2,3,4,5,5,5,5
"8",2520,"ec","00404",17,14,"ec:1.21.98.2",0,7,2,4,5,5,5,5,5
"9",2521,"ec","00404",17,14,"ec:1.13.12.17",0,7,2,4,5,5,5,5,5
"10",2522,"ec","00404",17,14,"ec:4.3.3.5",0,7,2,3,4,5,5,5,5
"11",2526,"ec","00404",17,14,"ec:1.14.13.217",12.1621621621622,7,2,2,2,2,2,2,2
