"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10","neighborsL11"
"1",1777,"ec","00300",31,49,"ec:1.2.1.11",96.1940166401133,11,3,4,7,11,14,18,19,20,20,20,20
"2",1779,"ec","00300",31,49,"ec:4.3.3.7",92.9013984776067,11,3,7,11,14,18,19,20,20,20,20,20
"3",1780,"ec","00300",31,49,"ec:1.17.1.8",89.8920162860683,11,4,10,14,18,19,20,20,20,20,20,20
"4",1787,"ec","00300",31,49,"ec:5.1.1.7",82.6872012745619,11,6,14,16,19,20,20,20,20,20,20,20
"5",1788,"ec","00300",31,49,"ec:4.1.1.20",87.2720835546114,11,6,11,16,17,19,20,20,20,20,20,20
"6",1789,"ec","00300",31,49,"ec:1.5.1.7",15.3301469286599,11,4,8,12,16,17,19,20,20,20,20,20
"7",1790,"ec","00300",31,49,"ec:1.5.1.10",2.47831474597274,11,2,5,8,12,16,17,19,20,20,20,20
"8",1795,"ec","00300",31,49,"ec:4.2.1.36",2.37210125685962,11,3,7,9,9,9,9,9,9,9,9,9
"9",1798,"ec","00300",31,49,"ec:6.3.2.13",83.6077181802089,11,4,10,15,17,19,20,20,20,20,20,20
"10",1800,"ec","00300",31,49,"ec:4.2.1.114",2.24818551956098,11,2,4,7,9,9,9,9,9,9,9,9
