"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8"
"1",5369,"ec","00906",107,255,"ec:1.14.99.44",5.14038876889849,8,2,4,4,4,4,4,4,4
"2",5373,"ec","00906",107,255,"ec:1.3.8.2",2.98056155507559,8,2,3,4,4,4,4,4,4
"3",5376,"ec","00906",107,255,"ec:1.3.99.39",9.28725701943845,8,8,20,38,58,76,84,89,90
"4",5377,"ec","00906",107,255,"ec:1.3.99.39",9.28725701943845,8,7,17,33,52,68,81,86,89
"5",5386,"ec","00906",107,255,"ec:2.1.1.210",4.44924406047516,8,3,7,17,29,44,57,68,76
"6",5387,"ec","00906",107,255,"ec:2.1.1.210",4.44924406047516,8,2,3,4,5,7,18,34,50
"7",5389,"ec","00906",107,255,"ec:2.1.1.210",4.44924406047516,8,3,15,31,48,64,76,85,88
"8",5390,"ec","00906",107,255,"ec:2.1.1.210",4.44924406047516,8,2,5,17,34,50,65,76,85
"9",5391,"ec","00906",107,255,"ec:1.3.99.27",4.57883369330454,8,2,4,5,7,18,34,50,65
"10",5392,"ec","00906",107,255,"ec:1.3.99.27",4.57883369330454,8,3,15,29,44,57,68,76,84
"11",5393,"ec","00906",107,255,"ec:1.3.99.27",4.57883369330454,8,3,15,32,49,65,76,85,88
"12",5394,"ec","00906",107,255,"ec:4.2.1.131",5.70194384449244,8,2,4,15,31,48,64,76,85
"13",5395,"ec","00906",107,255,"ec:4.2.1.131",5.70194384449244,8,2,4,7,18,34,50,65,76
"14",5396,"ec","00906",107,255,"ec:4.2.1.131",5.70194384449244,8,12,29,47,63,75,85,88,90
"15",5401,"ec","00906",107,255,"ec:4.2.1.131",5.70194384449244,8,12,25,42,57,68,76,84,88
"16",5403,"ec","00906",107,255,"ec:1.2.3.14",3.84449244060475,8,4,6,7,7,7,7,7,7
"17",5404,"ec","00906",107,255,"ec:1.1.1.288",3.84449244060475,8,3,7,7,7,7,7,7,7
"18",5432,"ec","00906",107,255,"ec:5.5.1.19",27.0842332613391,8,4,16,32,47,62,74,84,88
"19",5433,"ec","00906",107,255,"ec:5.5.1.18",4.83801295896328,8,11,30,47,62,74,84,88,90
"20",5444,"ec","00906",107,255,"ec:5.2.1.12",4.19006479481641,8,2,2,2,2,2,2,2,2
"21",5447,"ec","00906",107,255,"ec:5.2.1.13",10.0215982721382,8,11,27,45,62,74,84,88,90
"22",5451,"ec","00906",107,255,"ec:1.3.8.2",2.98056155507559,8,2,3,4,4,4,4,4,4
"23",5457,"ec","00906",107,255,"ec:1.3.99.30",1.98704103671706,8,10,28,46,62,74,84,88,90
"24",5458,"ec","00906",107,255,"ec:1.13.11.59",2.20302375809935,8,2,3,12,29,46,62,74,84
"25",5459,"ec","00906",107,255,"ec:5.5.1.19",1.59827213822894,8,2,12,29,46,62,74,84,88
"26",5473,"ec","00906",107,255,"ec:5.2.1.14",3.88768898488121,8,7,18,33,52,68,81,86,89
"27",5474,"ec","00906",107,255,"ec:1.13.11.68",3.93088552915767,8,2,8,18,33,52,68,81,86
