"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4"
"1",1745,"ec","00290",24,25,"ec:2.3.1.182",5.2281867459346,4,2,4,5,6
"2",1747,"ec","00290",24,25,"ec:1.1.1.85",80.7833537331701,4,3,5,6,7
"3",1752,"ec","00290",24,25,"ec:1.1.1.86",83.4586466165414,4,2,5,8,9
"4",1756,"ec","00290",24,25,"ec:2.3.3.13",81.0281517747858,4,5,6,7,8
"5",1759,"ec","00290",24,25,"ec:4.2.1.9",81.8499737716384,4,5,7,8,10
"6",1761,"ec","00290",24,25,"ec:5.4.99.3",0,4,2,6,9,9
"7",1763,"ec","00290",24,25,"ec:4.2.1.9",81.8499737716384,4,3,4,5,8
"8",1764,"ec","00290",24,25,"ec:1.1.1.86",83.4586466165414,4,2,7,10,11
"9",1765,"ec","00290",24,25,"ec:2.2.1.6",85.9241126070991,4,4,6,7,9
"10",1766,"ec","00290",24,25,"ec:5.4.99.3",0,4,2,5,10,11
"11",1771,"ec","00290",24,25,"ec:2.2.1.6",85.9241126070991,4,3,5,6,10
