"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4"
"1",6499,"ec","01057",33,28,"ec:1.1.1.362",1.5625,4,3,6,6,6
"2",6500,"ec","01057",33,28,"ec:5.5.1.23",1.5625,4,2,4,6,6
"3",6503,"ec","01057",33,28,"ec:2.1.1.292",0,4,3,3,3,3
"4",6512,"ec","01057",33,28,"ec:2.1.1.292",0,4,2,2,2,2
"5",6514,"ec","01057",33,28,"ec:5.5.1.23",1.5625,4,2,2,2,2
"6",6516,"ec","01057",33,28,"ec:1.14.13.232",7.8125,4,2,2,2,2
"7",6520,"ec","01057",33,28,"ec:1.14.13.38",0.78125,4,3,5,5,5
"8",6521,"ec","01057",33,28,"ec:2.4.1.326",0,4,4,5,6,6
"9",6528,"ec","01057",33,28,"ec:2.4.1.331",0,4,2,3,4,4
"10",6529,"ec","01057",33,28,"ec:2.1.1.305",0,4,2,4,4,4
"11",6530,"ec","01057",33,28,"ec:2.1.1.306",0,4,2,3,4,4
"12",6532,"ec","01057",33,28,"ec:1.14.13.234",0.78125,4,3,5,5,5
"13",6534,"ec","01057",33,28,"ec:1.3.98.4",0.78125,4,3,5,5,5
