"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5"
"1",5134,"ec","00901",34,30,"ec:4.3.3.2",32,5,3,5,6,6,6
"2",5136,"ec","00901",34,30,"ec:1.5.1.32",0,5,4,6,7,7,7
"3",5138,"ec","00901",34,30,"ec:1.14.14.104",0,5,4,6,7,7,7
"4",5140,"ec","00901",34,30,"ec:1.3.1.73",0,5,2,5,6,7,7
"5",5141,"ec","00901",34,30,"ec:2.3.1.160",0,5,2,5,6,7,7
"6",5147,"ec","00901",34,30,"ec:1.14.99.59",0,5,4,6,6,6,6
"7",5149,"ec","00901",34,30,"ec:2.7.1.222",0,5,3,5,6,6,6
"8",5161,"ec","00901",34,30,"ec:1.14.14.103",0,5,2,4,5,6,7
"9",5162,"ec","00901",34,30,"ec:2.1.1.99",0,5,2,4,5,6,7
"10",5163,"ec","00901",34,30,"ec:1.14.11.20",0,5,2,3,4,5,6
"11",5165,"ec","00901",34,30,"ec:2.1.1.94",0,5,2,4,6,7,8
"12",5166,"ec","00901",34,30,"ec:1.14.14.50",0,5,2,4,6,8,8
"13",5167,"ec","00901",34,30,"ec:1.1.99.41",0,5,2,4,6,7,8
"14",5168,"ec","00901",34,30,"ec:1.14.14.50",0,5,2,3,4,5,6
