"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5"
"1",5974,"ec","00944",40,69,"ec:2.4.1.81",0,5,5,9,11,13,13
"2",5975,"ec","00944",40,69,"ec:2.4.2.25",0,5,3,6,9,11,13
"3",5978,"ec","00944",40,69,"ec:2.4.1.81",0,5,5,8,12,13,13
"4",5979,"ec","00944",40,69,"ec:2.4.1.189",0,5,5,10,12,13,13
"5",5980,"ec","00944",40,69,"ec:2.4.1.190",0,5,3,7,10,12,13
"6",5986,"ec","00944",40,69,"ec:2.1.1.76",0,5,6,17,23,24,25
"7",5987,"ec","00944",40,69,"ec:2.4.1.91",10.1123595505618,5,6,11,20,25,25
"8",5988,"ec","00944",40,69,"ec:2.4.1.91",10.1123595505618,5,9,18,23,24,25
"9",5991,"ec","00944",40,69,"ec:2.4.1.159",64.0449438202247,5,5,11,18,23,24
"10",5992,"ec","00944",40,69,"ec:2.8.2.27",0,5,3,9,18,23,24
"11",5993,"ec","00944",40,69,"ec:2.4.1.239",60.6741573033708,5,3,8,12,20,25
"12",5995,"ec","00944",40,69,"ec:2.8.2.26",0,5,3,9,18,23,24
"13",5996,"ec","00944",40,69,"ec:2.1.1.82",0,5,2,7,17,23,24
"14",5999,"ec","00944",40,69,"ec:2.4.1.240",0,5,2,4,8,12,20
"15",6002,"ec","00944",40,69,"ec:2.8.2.25",0,5,7,18,23,24,25
"16",6013,"ec","00944",40,69,"ec:2.4.1.239",60.6741573033708,5,5,11,18,23,24
"17",6014,"ec","00944",40,69,"ec:1.14.14.81",55.0561797752809,5,5,16,23,24,25
