"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6"
"1",2203,"ec","00361",39,38,"ec:3.1.1.45",78.2199710564399,6,4,8,9,11,11,11
"2",2205,"ec","00361",39,38,"ec:1.3.1.119",0.180897250361794,6,2,2,2,2,2,2
"3",2210,"ec","00361",39,38,"ec:1.2.1.61",0,6,5,8,9,11,11,11
"4",2216,"ec","00361",39,38,"ec:3.1.1.45",78.2199710564399,6,2,2,2,2,2,2
"5",2218,"ec","00361",39,38,"ec:1.14.12.3",0.180897250361794,6,2,3,3,3,3,3
"6",2219,"ec","00361",39,38,"ec:1.3.1.19",0.180897250361794,6,2,3,3,3,3,3
"7",2223,"ec","00361",39,38,"ec:1.13.11.37",6.43994211287988,6,5,8,9,11,11,11
"8",2227,"ec","00361",39,38,"ec:5.2.1.10",0,6,3,4,8,11,11,11
"9",2228,"ec","00361",39,38,"ec:3.1.1.45",78.2199710564399,6,2,8,11,11,11,11
"10",2229,"ec","00361",39,38,"ec:1.3.1.32",1.04920405209841,6,5,9,11,11,11,11
"11",2235,"ec","00361",39,38,"ec:1.13.11.1",24.3125904486252,6,4,5,5,5,5,5
"12",2237,"ec","00361",39,38,"ec:5.5.1.1",21.3458755426918,6,3,5,5,5,5,5
"13",2243,"ec","00361",39,38,"ec:5.5.1.7",0.253256150506512,6,2,3,3,3,3,3
"14",2245,"ec","00361",39,38,"ec:3.1.1.45",78.2199710564399,6,2,3,3,3,3,3
"15",2248,"ec","00361",39,38,"ec:1.1.1.404",4.95658465991317,6,2,2,2,2,2,2
