"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9"
"1",5794,"ec","00941",83,199,"ec:2.1.1.104",100,9,4,7,11,15,20,36,57,70,76
"2",5797,"ec","00941",83,199,"ec:1.14.11.9",0,9,3,4,5,10,16,33,54,68,76
"3",5798,"ec","00941",83,199,"ec:5.5.1.6",100,9,3,5,10,16,33,54,68,76,78
"4",5800,"ec","00941",83,199,"ec:5.5.1.6",100,9,5,14,21,35,54,68,76,78,78
"5",5801,"ec","00941",83,199,"ec:2.3.1.74",98.9010989010989,9,2,9,16,33,54,68,76,78,78
"6",5804,"ec","00941",83,199,"ec:2.4.1.185",0,9,10,26,43,54,64,72,76,78,78
"7",5811,"ec","00941",83,199,"ec:1.14.20.4",89.010989010989,9,3,8,24,40,50,56,64,72,76
"8",5818,"ec","00941",83,199,"ec:5.5.1.6",100,9,11,32,48,62,72,76,78,78,78
"9",5834,"ec","00941",83,199,"ec:1.14.20.4",89.010989010989,9,3,9,25,40,45,51,56,64,72
"10",5844,"ec","00941",83,199,"ec:1.14.20.4",89.010989010989,9,3,6,15,36,44,51,56,64,72
"11",5846,"ec","00941",83,199,"ec:1.1.1.219",87.9120879120879,9,5,15,36,44,51,56,64,72,76
"12",5848,"ec","00941",83,199,"ec:2.3.1.74",98.9010989010989,9,4,9,11,15,20,36,57,70,76
"13",5859,"ec","00941",83,199,"ec:1.14.14.91",100,9,6,13,32,54,68,76,78,78,78
"14",5860,"ec","00941",83,199,"ec:2.3.1.170",98.9010989010989,9,6,16,34,54,68,76,78,78,78
"15",5864,"ec","00941",83,199,"ec:1.3.1.117",0,9,6,13,30,53,68,76,78,78,78
"16",5865,"ec","00941",83,199,"ec:2.3.1.74",98.9010989010989,9,2,7,13,30,53,68,76,78,78
"17",5867,"ec","00941",83,199,"ec:2.3.1.74",98.9010989010989,9,7,22,45,64,74,78,78,78,78
"18",5874,"ec","00941",83,199,"ec:2.4.1.286",0,9,3,17,37,56,70,76,78,78,78
"19",5875,"ec","00941",83,199,"ec:2.4.1.286",0,9,3,6,9,11,15,20,36,57,70
