"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",2001,"ec","00340",41,70,"ec:3.5.2.7",48.2006125574273,7,4,7,14,19,25,28,28
"2",2002,"ec","00340",41,70,"ec:4.2.1.49",48.3728943338438,7,3,13,19,25,28,28,28
"3",2003,"ec","00340",41,70,"ec:4.3.1.3",50.8805513016845,7,9,15,24,28,28,28,28
"4",2005,"ec","00340",41,70,"ec:2.1.1.22",8.46094946401225,7,5,10,16,21,27,28,28
"5",2008,"ec","00340",41,70,"ec:3.5.3.5",0,7,2,2,2,2,2,2,2
"6",2011,"ec","00340",41,70,"ec:1.2.1.3",59.0543644716692,7,3,5,13,19,24,27,28
"7",2012,"ec","00340",41,70,"ec:1.4.3.4",24.3491577335375,7,2,4,12,19,24,27,28
"8",2014,"ec","00340",41,70,"ec:1.4.3.22",2.92879019908116,7,3,13,19,24,27,28,28
"9",2015,"ec","00340",41,70,"ec:2.1.1.8",2.98621745788668,7,3,12,19,24,27,28,28
"10",2019,"ec","00340",41,70,"ec:3.1.3.15",54.9770290964778,7,2,3,4,5,6,7,8
"11",2020,"ec","00340",41,70,"ec:2.6.1.9",91.2519142419602,7,2,4,5,6,7,8,8
"12",2021,"ec","00340",41,70,"ec:4.2.1.19",89.3376722817764,7,2,4,6,7,8,8,8
"13",2022,"ec","00340",41,70,"ec:5.3.1.16",89.509954058193,7,2,4,6,7,8,8,8
"14",2023,"ec","00340",41,70,"ec:3.5.4.19",88.4762633996937,7,2,4,5,6,7,8,8
"15",2024,"ec","00340",41,70,"ec:3.6.1.31",86.4088820826952,7,2,3,4,5,6,7,8
"16",2025,"ec","00340",41,70,"ec:4.3.2.10",90.2565084226646,7,2,4,6,8,8,8,8
"17",2032,"ec","00340",41,70,"ec:2.1.1.44",7.67611026033691,7,9,16,21,27,28,28,28
"18",2037,"ec","00340",41,70,"ec:4.1.1.22",9.95405819295559,7,9,16,24,27,28,28,28
