"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9","neighborsL10","neighborsL11","neighborsL12","neighborsL13","neighborsL14","neighborsL15"
"1",1302,"ec","00240",108,442,"ec:2.1.3.2",89.9094650205761,15,2,5,6,7,17,39,63,83,92,98,103,105,107,107,107
"2",1303,"ec","00240",108,442,"ec:3.5.2.3",89.4320987654321,15,4,6,7,17,39,63,83,92,98,103,105,107,107,107,107
"3",1306,"ec","00240",108,442,"ec:2.4.2.10",92.2469135802469,15,4,15,38,63,83,92,98,103,105,107,107,107,107,107,107
"4",1322,"ec","00240",108,442,"ec:3.5.2.2",26.6172839506173,15,3,14,36,65,89,96,102,105,107,107,107,107,107,107,107
"5",1335,"ec","00240",108,442,"ec:1.17.99.4",0,15,13,36,65,89,96,102,105,107,107,107,107,107,107,107,107
"6",1336,"ec","00240",108,442,"ec:3.5.2.1",0.526748971193416,15,2,14,36,65,89,96,102,105,107,107,107,107,107,107,107
"7",1343,"ec","00240",108,442,"ec:2.1.2.8",0,15,9,24,46,70,92,99,104,105,106,107,107,107,107,107,107
"8",1367,"ec","00240",108,442,"ec:1.17.99.4",0,15,6,11,16,26,48,69,95,100,104,105,106,107,107,107,107
"9",1370,"ec","00240",108,442,"ec:3.5.2.1",0.526748971193416,15,2,7,11,16,26,48,69,95,100,104,105,106,107,107,107
"10",1371,"ec","00240",108,442,"ec:3.5.2.2",26.6172839506173,15,3,7,11,16,26,48,69,95,100,104,105,106,107,107,107
"11",1375,"ec","00240",108,442,"ec:4.2.1.70",22.5843621399177,15,13,35,65,89,96,102,105,107,107,107,107,107,107,107,107
"12",1377,"ec","00240",108,442,"ec:4.1.1.23",91.8024691358025,15,11,36,61,82,92,98,103,105,107,107,107,107,107,107,107
"13",1380,"ec","00240",108,442,"ec:3.1.3.6",0,15,6,30,54,77,90,97,103,105,107,107,107,107,107,107,107
"14",1384,"ec","00240",108,442,"ec:3.1.3.6",28.1646090534979,15,6,18,45,67,83,91,98,103,105,107,107,107,107,107,107
"15",1387,"ec","00240",108,442,"ec:1.14.99.46",10.0411522633745,15,13,35,65,89,96,102,105,107,107,107,107,107,107,107,107
"16",1393,"ec","00240",108,442,"ec:2.7.4.12",0,15,2,10,24,46,70,92,99,104,105,106,107,107,107,107,107
