"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7"
"1",2255,"ec","00362",72,133,"ec:4.2.1.83",12.0185614849188,7,2,3,4,4,4,4,4
"2",2256,"ec","00362",72,133,"ec:5.3.2.8",7.37819025522042,7,2,4,4,4,4,4,4
"3",2257,"ec","00362",72,133,"ec:3.1.1.57",3.89791183294664,7,2,3,4,4,4,4,4
"4",2271,"ec","00362",72,133,"ec:3.7.1.21",0.510440835266821,7,3,5,9,15,21,28,40
"5",2303,"ec","00362",72,133,"ec:1.13.11.2",30.3712296983759,7,3,6,13,24,36,43,49
"6",2308,"ec","00362",72,133,"ec:1.14.12.3",0.116009280742459,7,2,7,17,33,39,45,51
"7",2309,"ec","00362",72,133,"ec:1.3.1.19",0.116009280742459,7,6,17,33,39,45,51,54
"8",2312,"ec","00362",72,133,"ec:1.3.8.10",0.0928074245939675,7,3,7,13,21,31,42,51
"9",2320,"ec","00362",72,133,"ec:1.14.13.208",4.36194895591647,7,3,9,17,23,34,41,50
"10",2321,"ec","00362",72,133,"ec:4.1.2.44",4.24593967517401,7,2,4,9,17,23,34,41
