"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8"
"1",5921,"ec","00943",50,67,"ec:1.14.14.90",96.969696969697,8,5,12,17,19,22,23,24,24
"2",5922,"ec","00943",50,67,"ec:1.14.14.87",16.6666666666667,8,4,9,14,17,19,22,23,24
"3",5928,"ec","00943",50,67,"ec:1.14.14.87",16.6666666666667,8,3,6,10,12,12,12,12,12
"4",5929,"ec","00943",50,67,"ec:4.2.1.105",12.1212121212121,8,4,10,12,12,12,12,12,12
"5",5931,"ec","00943",50,67,"ec:2.1.1.212",19.6969696969697,8,7,10,12,12,12,12,12,12
"6",5932,"ec","00943",50,67,"ec:1.14.14.88",13.6363636363636,8,5,9,10,12,12,12,12,12
"7",5934,"ec","00943",50,67,"ec:2.4.1.170",1.51515151515152,8,5,9,10,12,12,12,12,12
"8",5938,"ec","00943",50,67,"ec:1.14.14.88",13.6363636363636,8,5,13,19,22,23,24,24,24
"9",5941,"ec","00943",50,67,"ec:2.4.1.170",1.51515151515152,8,5,12,17,22,23,24,24,24
"10",5945,"ec","00943",50,67,"ec:2.4.1.170",1.51515151515152,8,5,12,17,19,22,23,24,24
"11",5950,"ec","00943",50,67,"ec:1.3.1.45",0,8,2,7,15,20,24,24,24,24
"12",5951,"ec","00943",50,67,"ec:1.14.14.90",96.969696969697,8,3,4,8,15,19,22,23,24
"13",5954,"ec","00943",50,67,"ec:2.4.1.170",1.51515151515152,8,2,3,4,5,9,16,20,24
"14",5959,"ec","00943",50,67,"ec:2.5.1.36",0,8,3,4,5,5,5,5,5,5
"15",5960,"ec","00943",50,67,"ec:2.5.1.36",0,8,2,3,5,5,5,5,5,5
"16",5961,"ec","00943",50,67,"ec:1.14.14.93",1.51515151515152,8,2,5,5,5,5,5,5,5
"17",5963,"ec","00943",50,67,"ec:1.1.1.348",18.1818181818182,8,2,4,9,16,20,24,24,24
"18",5964,"ec","00943",50,67,"ec:1.14.14.90 / ec:1.14.14.89",96.969696969697,8,5,13,18,23,24,24,24,24
"19",5966,"ec","00943",50,67,"ec:4.2.1.139",0,8,2,4,5,9,16,20,24,24
"20",5968,"ec","00943",50,67,"ec:1.14.19.63",0,8,2,8,15,19,22,23,24,24
