"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3"
"1",3578,"ec","00565",27,46,"ec:2.3.1.25",0,3,2,4,8
"2",3580,"ec","00565",27,46,"ec:1.1.1.101",5.09031198686371,3,3,4,6
"3",3583,"ec","00565",27,46,"ec:2.3.1.105",0,3,3,6,8
"4",3584,"ec","00565",27,46,"ec:3.1.3.59",0,3,3,7,10
"5",3585,"ec","00565",27,46,"ec:2.7.8.2",10.4542966611932,3,4,7,10
"6",3586,"ec","00565",27,46,"ec:2.7.8.1",27.4220032840723,3,4,12,17
"7",3587,"ec","00565",27,46,"ec:2.7.8.2",10.4542966611932,3,5,9,15
"8",3595,"ec","00565",27,46,"ec:1.14.99.19",0,3,6,12,16
"9",3600,"ec","00565",27,46,"ec:2.7.8.22",0,3,3,8,11
"10",3603,"ec","00565",27,46,"ec:2.4.1.47",8.97646414887794,3,4,7,14
