"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6"
"1",794,"ec","00120",46,66,"ec:1.14.14.25",97.2413793103448,6,4,9,13,15,18,19
"2",797,"ec","00120",46,66,"ec:1.14.14.29",99.3103448275862,6,2,5,9,13,15,18
"3",801,"ec","00120",46,66,"ec:5.1.99.4",97.2413793103448,6,2,4,4,4,4,4
"4",802,"ec","00120",46,66,"ec:1.17.99.3",73.7931034482759,6,2,3,4,4,4,4
"5",804,"ec","00120",46,66,"ec:1.14.99.38",98.6206896551724,6,4,9,13,15,18,19
"6",805,"ec","00120",46,66,"ec:1.14.14.23",100,6,4,10,15,18,19,19
"7",814,"ec","00120",46,66,"ec:1.14.15.15",99.3103448275862,6,5,9,13,15,18,19
"8",817,"ec","00120",46,66,"ec:1.1.1.181",97.2413793103448,6,3,8,15,19,19,19
"9",826,"ec","00120",46,66,"ec:1.14.14.26",80,6,2,5,9,13,15,18
"10",827,"ec","00120",46,66,"ec:6.2.1.7",44.8275862068966,6,2,3,4,4,4,4
"11",831,"ec","00120",46,66,"ec:5.1.99.4",97.2413793103448,6,2,4,4,4,4,4
"12",832,"ec","00120",46,66,"ec:1.17.99.3",73.7931034482759,6,2,3,4,4,4,4
"13",834,"ec","00120",46,66,"ec:6.2.1.7",44.8275862068966,6,2,3,4,4,4,4
