"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6"
"1",6414,"ec","00999",36,28,"ec:4.4.1.26",0,6,2,4,4,4,4,4
"2",6415,"ec","00999",36,28,"ec:2.5.1.102",0,6,3,4,4,4,4,4
"3",6418,"ec","00999",36,28,"ec:2.3.1.161",0,6,2,4,5,6,6,6
"4",6419,"ec","00999",36,28,"ec:3.1.2.31",0,6,2,3,4,5,6,6
"5",6422,"ec","00999",36,28,"ec:1.14.14.125",0,6,2,3,4,5,6,6
"6",6423,"ec","00999",36,28,"ec:2.3.1.238",0,6,2,4,5,6,6,6
"7",6424,"ec","00999",36,28,"ec:2.3.1.244",0,6,2,4,6,6,6,6
"8",6427,"ec","00999",36,28,"ec:4.1.99.20",1.875,6,2,2,2,2,2,2
"9",6430,"ec","00999",36,28,"ec:2.4.1.330",0,6,2,3,3,3,3,3
"10",6431,"ec","00999",36,28,"ec:2.4.1.271",0,6,2,3,3,3,3,3
"11",6437,"ec","00999",36,28,"ec:4.1.1.117",9.6875,6,2,4,5,6,6,6
"12",6438,"ec","00999",36,28,"ec:2.5.1.140",39.0625,6,2,3,4,5,6,6
"13",6439,"ec","00999",36,28,"ec:1.5.1.51",37.5,6,2,4,5,6,6,6
"14",6440,"ec","00999",36,28,"ec:6.3.2.54",11.5625,6,2,4,6,6,6,6
"15",6441,"ec","00999",36,28,"ec:6.3.2.55",9.84375,6,2,3,4,5,6,6
"16",6443,"ec","00999",36,28,"ec:4.2.1.101",43.125,6,2,2,2,2,2,2
"17",6449,"ec","00999",36,28,"ec:6.3.2.58",14.375,6,2,2,2,2,2,2
