"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9"
"1",5174,"ec","00902",57,194,"ec:1.14.14.83",0,9,4,22,32,38,40,41,41,41,41
"2",5176,"ec","00902",57,194,"ec:1.14.14.85",0,9,3,6,7,8,8,8,8,8,8
"3",5178,"ec","00902",57,194,"ec:1.14.14.85",0,9,3,7,8,8,8,8,8,8,8
"4",5185,"ec","00902",57,194,"ec:4.2.3.20",1.12359550561798,9,17,29,36,39,41,41,41,41,41
"5",5186,"ec","00902",57,194,"ec:4.2.3.16",6.74157303370786,9,19,30,37,39,41,41,41,41,41
"6",5187,"ec","00902",57,194,"ec:5.5.1.8",0,9,17,29,36,39,41,41,41,41,41
"7",5190,"ec","00902",57,194,"ec:1.1.1.223",0,9,2,5,22,31,37,39,41,41,41
"8",5191,"ec","00902",57,194,"ec:1.14.14.53",0,9,2,18,29,36,39,41,41,41,41
"9",5193,"ec","00902",57,194,"ec:1.14.14.51",0,9,4,21,31,37,39,41,41,41,41
"10",5194,"ec","00902",57,194,"ec:1.14.14.99",0,9,4,22,31,37,39,41,41,41,41
"11",5200,"ec","00902",57,194,"ec:4.2.3.108",53.9325842696629,9,3,19,31,38,40,41,41,41,41
"12",5201,"ec","00902",57,194,"ec:1.1.1.241",0,9,2,3,5,20,31,38,40,41,41
"13",5203,"ec","00902",57,194,"ec:1.3.1.81",0,9,5,5,5,5,5,5,5,5,5
"14",5213,"ec","00902",57,194,"ec:1.1.1.324",100,9,2,6,23,32,38,40,41,41,41
"15",5214,"ec","00902",57,194,"ec:1.14.14.133",0,9,2,5,20,31,38,40,41,41,41
"16",5216,"ec","00902",57,194,"ec:1.14.14.31",0,9,3,21,30,36,39,41,41,41,41
"17",5220,"ec","00902",57,194,"ec:3.1.7.3",0,9,2,18,29,36,39,41,41,41,41
"18",5223,"ec","00902",57,194,"ec:1.3.1.99",0,9,2,3,6,23,32,38,40,41,41
"19",5224,"ec","00902",57,194,"ec:2.4.1.323",0,9,2,4,7,8,8,8,8,8,8
