"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9"
"1",4961,"ec","00860",130,277,"ec:2.4.1.17",3.31745191459326,9,3,8,19,23,27,31,36,43,53
"2",4965,"ec","00860",130,277,"ec:1.3.7.2",0.758778895359097,9,7,18,23,27,31,36,43,53,59
"3",4979,"ec","00860",130,277,"ec:2.1.1.11",6.1761072878066,9,3,8,23,33,39,51,63,77,86
"4",4980,"ec","00860",130,277,"ec:6.6.1.1",26.5219692959238,9,4,19,28,34,41,48,63,74,86
"5",4982,"ec","00860",130,277,"ec:4.1.1.37",83.4833245103229,9,5,11,24,41,49,57,61,66,70
"6",4983,"ec","00860",130,277,"ec:4.2.1.75",87.2066349038292,9,3,9,19,32,46,54,59,63,68
"7",4984,"ec","00860",130,277,"ec:2.1.1.107",73.9897653079231,9,4,12,20,34,49,56,61,65,70
"8",4986,"ec","00860",130,277,"ec:2.5.1.61",87.2066349038292,9,2,7,13,21,33,46,54,59,63
"9",4987,"ec","00860",130,277,"ec:4.2.1.24",88.0007058408329,9,4,6,9,14,21,33,46,54,59
"10",4989,"ec","00860",130,277,"ec:5.4.3.8",75.489677077819,9,4,6,7,9,14,21,33,46,54
"11",4991,"ec","00860",130,277,"ec:1.2.1.70",70.7076054349744,9,2,5,6,7,9,14,21,33,46
"12",4993,"ec","00860",130,277,"ec:4.99.1.4",58.5847891300512,9,4,8,13,21,27,40,53,60,65
"13",5013,"ec","00860",130,277,"ec:1.16.8.1",2.43515087347803,9,3,6,11,17,21,25,30,34,37
"14",5014,"ec","00860",130,277,"ec:2.5.1.17",69.75472031057,9,2,7,13,17,21,26,30,32,34
"15",5015,"ec","00860",130,277,"ec:6.3.5.10",44.5209105346744,9,4,9,13,17,22,26,28,30,32
"16",5020,"ec","00860",130,277,"ec:2.5.1.17",70.0017646020822,9,3,7,10,15,17,18,20,22,24
"17",5021,"ec","00860",130,277,"ec:2.7.7.62",46.9737074289748,9,3,10,15,18,20,22,24,26,28
"18",5022,"ec","00860",130,277,"ec:4.1.1.81",14.0991706370214,9,2,6,10,13,18,22,24,26,28
"19",5023,"ec","00860",130,277,"ec:2.7.8.26",49.6559025939651,9,3,8,15,17,18,20,22,24,26
"20",5024,"ec","00860",130,277,"ec:3.1.3.73",37.1625198517734,9,2,4,8,15,17,18,20,22,24
"21",5026,"ec","00860",130,277,"ec:1.16.1.4",0,9,4,5,7,10,15,17,18,20,22
"22",5028,"ec","00860",130,277,"ec:6.3.1.10",47.044291512264,9,5,10,13,18,22,24,26,28,30
"23",5033,"ec","00860",130,277,"ec:1.14.15.17",1.85283218634198,9,2,2,2,2,2,2,2,2,2
"24",5044,"ec","00860",130,277,"ec:1.1.1.396",2.24104464443268,9,3,6,14,21,30,36,39,40,41
"25",5049,"ec","00860",130,277,"ec:2.5.1.133",6.35256749602965,9,2,4,6,14,21,30,36,39,40
"26",5050,"ec","00860",130,277,"ec:2.1.1.333",0.211752249867655,9,6,9,18,25,32,36,39,40,41
"27",5054,"ec","00860",130,277,"ec:3.1.1.100",0.299982353979178,9,11,21,31,36,39,40,41,44,57
"28",5069,"ec","00860",130,277,"ec:4.99.1.11",1.58814187400741,9,4,9,14,21,27,40,53,60,65
"29",5070,"ec","00860",130,277,"ec:6.3.5.12",0.81171695782601,9,2,6,10,14,21,27,40,53,60
"30",5071,"ec","00860",130,277,"ec:6.3.3.7",1.62343391565202,9,2,3,6,10,14,21,27,40,53
