"","ap_dict_id","org","pathway","pathway_nodes","pathway_edges","ec","frequency","networkDiameter","neighborsL1","neighborsL2","neighborsL3","neighborsL4","neighborsL5","neighborsL6","neighborsL7","neighborsL8","neighborsL9"
"1",3319,"ec","00540",37,48,"ec:2.7.7.38",83.5103409726104,9,2,8,14,18,24,25,25,25,25
"2",3320,"ec","00540",37,48,"ec:3.1.3.45",63.1917272219117,9,2,4,9,14,18,24,25,25,25
"3",3321,"ec","00540",37,48,"ec:2.7.1.130",80.6875349357183,9,4,11,15,19,25,25,25,25,25
"4",3322,"ec","00540",37,48,"ec:2.4.1.182",84.8518725544997,9,3,7,13,16,19,25,25,25,25
"5",3324,"ec","00540",37,48,"ec:3.1.3.82",58.9994410285075,9,2,4,4,4,4,4,4,4,4
"6",3325,"ec","00540",37,48,"ec:2.7.1.167",50.8664058133035,9,2,3,4,4,4,4,4,4,4
"7",3326,"ec","00540",37,48,"ec:2.7.7.70",51.0340972610397,9,2,3,4,4,4,4,4,4,4
"8",3327,"ec","00540",37,48,"ec:2.3.1.241",79.0944661822247,9,3,10,15,19,22,24,25,25,25
"9",3328,"ec","00540",37,48,"ec:2.3.1.243",17.7752934600335,9,6,8,10,15,19,22,24,25,25
"10",3329,"ec","00540",37,48,"ec:2.4.99.13",80.2403577417552,9,3,10,19,22,24,25,25,25,25
"11",3330,"ec","00540",37,48,"ec:2.4.99.12",80.2403577417552,9,6,12,17,24,25,25,25,25,25
"12",3333,"ec","00540",37,48,"ec:2.5.1.55",83.3985466741196,9,2,3,4,9,14,18,24,25,25
"13",3334,"ec","00540",37,48,"ec:2.3.1.191",85.4108440469536,9,3,5,8,13,16,19,25,25,25
"14",3335,"ec","00540",37,48,"ec:3.5.1.108",85.4387926215763,9,2,4,5,8,13,16,19,25,25
"15",3337,"ec","00540",37,48,"ec:2.7.1.168",10.2291783119061,9,2,3,3,3,3,3,3,3,3
"16",3339,"ec","00540",37,48,"ec:3.1.3.83",58.9994410285075,9,2,3,3,3,3,3,3,3,3
"17",3344,"ec","00540",37,48,"ec:2.3.1.251",14.1978759083287,9,4,9,14,18,25,25,25,25,25
"18",3347,"ec","00540",37,48,"ec:2.3.1.242",11.4309670206819,9,3,5,15,19,22,24,25,25,25
"19",3351,"ec","00540",37,48,"ec:2.4.2.43",14.169927333706,9,4,9,14,18,25,25,25,25,25
